GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,29.0,403560,0,0.0,36.363,39.201,40.792,37.271,55,  -, -, 0.00%,  0.00%,  0.00%, 0.18%,  0.13%,  0.59%, 0.75%,  0.63%,  5.04%, 3.22%,  2.26%, 27.04%,60.16%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,60530.92,13444.6,5532.65,817127.87,16,235,96.55,62,147,121.14,86,180,135.04, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.71%, 0.00%,0.00%, 35.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,294.8,0.1,181.7,0.0,619.5,0.0,381.9,3.919,31
0,1,False,3, b-SLICE,1,34.0,8856,0,4.41,34.829,39.157,40.819,36.119,57, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.60%,  1.06%, 14.78%, 14.93%,  5.28%,  4.68%,  3.02%,  3.92%,  0.00%,  4.22%,  3.62%,  3.32%,  0.60%, 27.60%,  8.14%,  4.22%,82873.06,12749.06,7175.5,87339.12,16,235,96.63,59,149,121.17,81,181,135.01, 0.00%, 26.67%,0.00%, 26.67%, 0.00%, 6.67%, 13.33%, 6.67%, 20.00%, 0.00%, 48.17%,0.00%, 24.89%, 4.34%, 3.54%, 6.96%, 2.51%, 9.59%, 0.00%, 54.17%,0.00%, 13.19%, 11.11%, 3.12%, 8.68%, 2.43%, 7.29%, 0.00%, 52.08%,0.00%, 13.54%, 7.29%, 6.77%, 6.77%, 7.81%, 5.73%,0.00%,334.4,184.6,34.8,11.5,94.9,0.0,454.4,3.452,36
0,2,False,2, B-SLICE,2,33.0,17064,0,4.49,34.831,39.022,40.78,36.099,55, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.30%,  0.00%, 15.98%, 10.95%,  8.88%,  8.68%,  6.11%, 12.03%,  0.00%,  3.65%,  3.65%,  3.94%,  0.00%,  9.57%,  6.80%,  9.47%,83132.24,13034.82,7262.17,92297.33,16,235,96.88,60,150,121.21,87,181,135.08, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.66%,0.00%, 39.13%, 4.81%, 3.89%, 7.55%, 2.75%, 11.21%, 0.00%, 37.32%,0.00%, 24.65%, 7.04%, 4.40%, 9.68%, 5.28%, 11.62%, 0.00%, 42.50%,0.00%, 14.38%, 5.00%, 10.62%, 12.19%, 6.09%, 9.22%,0.00%,331.4,153.2,46.7,18.9,119.3,0.0,427.9,3.237,35
0,3,False,4, b-SLICE,3,34.0,9568,0,4.64,34.484,39.093,40.834,35.854,56, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.55%,  2.71%, 15.63%, 13.40%,  8.77%,  7.50%,  3.51%,  6.06%,  0.00%,  4.78%,  2.39%,  0.80%,  1.12%, 13.88%,  9.41%,  7.50%,89396.27,12843.97,7899.64,93310.68,16,235,97.14,63,149,121.2,85,180,135.07, 0.00%, 17.50%,0.00%, 40.00%, 0.00%, 8.75%, 8.75%, 7.50%, 17.50%, 0.00%, 35.56%,0.00%, 36.17%, 2.74%, 5.17%, 8.21%, 2.28%, 9.88%, 0.00%, 42.05%,0.00%, 21.59%, 9.66%, 1.14%, 7.95%, 4.83%, 12.78%, 0.00%, 46.43%,0.00%, 16.96%, 2.68%, 9.82%, 12.50%, 4.02%, 7.59%,0.00%,337.6,181.3,37.5,11.5,98.6,0.0,450.4,3.178,39
0,4,False,1, P-SLICE,4,32.0,49408,0,4.36,34.549,39.01,40.719,35.878,52, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.08%, 0.08%,  0.00%,  0.73%, 0.00%,  0.00%,  0.00%,  1.76%,  3.25%, 14.83%, 15.56%, 16.51%, 17.62%,  0.00%,  0.27%,  3.82%,  8.37%,  0.00%,  0.61%,  6.92%,  9.59%,90312.24,13138.02,6138.56,135576.79,16,235,97.37,61,149,121.14,81,179,135.03, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 12.50%,0.00%, 29.89%, 11.41%, 10.87%, 10.33%, 11.68%, 13.32%, 0.19%, 26.07%,0.00%, 20.04%, 15.96%, 7.33%, 12.06%, 6.82%, 11.55%, 1.52%, 33.96%,0.00%, 17.70%, 13.51%, 6.07%, 10.55%, 5.71%, 10.98%,0.00%,328.0,89.7,86.8,48.5,156.2,2.2,396.4,2.481,34
0,5,False,7, b-SLICE,5,34.0,9616,0,4.85,34.283,39.046,40.803,35.693,57, 4 2 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.26%,  2.71%, 16.44%,  9.95%,  9.05%,  5.58%,  6.03%,  6.64%,  0.00%,  5.73%,  5.58%,  2.87%,  1.06%, 12.67%,  6.03%,  7.39%,93770.0,12964.53,8166.93,97498.36,16,235,97.58,62,147,121.19,70,181,135.07, 0.00%, 17.50%,0.00%, 37.50%, 0.00%, 6.25%, 8.75%, 10.00%, 20.00%, 0.00%, 37.31%,0.00%, 39.14%, 3.36%, 4.43%, 8.41%, 1.22%, 6.12%, 0.00%, 44.25%,0.00%, 30.46%, 4.02%, 2.30%, 6.90%, 2.59%, 9.48%, 0.00%, 44.74%,0.00%, 18.42%, 7.89%, 3.95%, 11.18%, 4.61%, 9.21%,0.00%,1.0,86.1,48.6,21.8,117.9,0.0,556.9,3.163,24
0,6,False,6, B-SLICE,6,33.0,20728,0,4.45,34.442,38.931,40.745,35.791,55, 4 2 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.50%,  0.42%, 11.84%,  7.64%, 11.25%,  9.40%,  9.91%, 12.01%,  0.00%,  2.27%,  3.44%,  3.27%,  0.08%,  6.05%, 10.83%, 11.08%,90801.65,13242.02,8229.78,101722.16,16,235,97.78,59,148,121.12,78,178,135.03, 0.00%, 8.33%,0.00%, 50.00%, 0.00%, 0.00%, 16.67%, 0.00%, 25.00%, 0.00%, 27.42%,0.00%, 40.17%, 7.20%, 1.94%, 8.86%, 1.66%, 12.74%, 0.00%, 40.87%,0.00%, 25.00%, 7.21%, 3.49%, 9.50%, 3.49%, 10.46%, 0.00%, 39.58%,0.00%, 18.29%, 9.03%, 5.32%, 9.49%, 5.90%, 12.38%,0.00%,1.0,70.4,64.8,24.7,135.8,2.4,528.6,2.519,33
0,7,False,8, b-SLICE,7,34.0,10296,0,5.05,34.143,38.948,40.784,35.574,56, 6 4 2 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.28%,  1.57%, 16.38%,  9.83%,  8.26%,  7.12%,  5.13%,  7.26%,  0.00%,  5.56%,  6.13%,  3.56%,  2.28%, 11.82%,  6.98%,  6.84%,96595.4,13165.04,8370.37,100643.33,16,235,97.99,61,148,121.18,88,178,135.09, 0.00%, 44.44%,0.00%, 25.00%, 0.00%, 4.17%, 9.72%, 6.94%, 9.72%, 0.00%, 36.31%,0.00%, 39.29%, 3.87%, 2.68%, 5.95%, 2.98%, 8.93%, 0.00%, 46.00%,0.00%, 22.00%, 7.00%, 4.50%, 11.00%, 2.00%, 7.50%, 0.00%, 45.62%,0.00%, 20.00%, 2.50%, 6.56%, 8.44%, 2.81%, 14.06%,0.00%,1.0,63.5,48.7,21.8,108.0,0.0,554.0,2.97,21
0,8,False,5, P-SLICE,8,32.0,68616,0,4.47,34.306,38.872,40.648,35.67,52, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.16%, 0.00%,  0.03%,  1.10%, 0.00%,  0.00%,  0.00%,  1.93%,  2.58%, 11.32%, 11.19%, 26.89%, 19.31%,  0.00%,  0.32%,  1.71%,  7.12%,  0.00%,  0.32%,  4.19%, 11.83%,95594.84,13477.31,6649.46,152256.93,16,235,98.22,60,148,121.11,86,180,135.07, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 10.53%,0.00%, 33.68%, 13.68%, 12.37%, 3.95%, 15.00%, 10.79%, 0.56%, 20.65%,0.00%, 24.72%, 14.90%, 9.37%, 13.43%, 5.59%, 10.78%, 1.70%, 28.60%,0.00%, 23.88%, 16.68%, 4.69%, 11.31%, 4.18%, 8.95%,0.00%,1.1,41.2,84.4,11.5,254.5,0.0,487.2,3.748,38
0,9,True,11, b-SLICE,9,34.0,12920,0,4.78,34.005,38.916,40.743,35.461,57, 8 6 ,11 13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.81%,  1.61%, 13.38%, 10.50%,  8.42%,  8.88%,  6.81%,  9.00%,  0.00%,  4.61%,  3.81%,  3.69%,  0.81%,  8.07%,  8.65%, 10.96%,100015.01,13272.51,8406.93,105848.65,16,235,98.41,62,146,121.17,84,180,135.16, 0.00%, 25.00%,0.00%, 25.00%, 0.00%, 12.50%, 19.64%, 5.36%, 12.50%, 0.00%, 31.70%,0.00%, 36.02%, 6.05%, 3.75%, 9.51%, 3.03%, 9.94%, 0.00%, 41.86%,0.00%, 24.42%, 3.88%, 4.07%, 10.66%, 2.91%, 12.21%, 0.00%, 48.11%,0.00%, 14.77%, 7.58%, 4.92%, 12.88%, 2.65%, 9.09%,0.00%,1.0,72.8,49.1,18.9,115.6,0.0,645.6,2.881,30
