GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,34.0,103152,0,0.0,35.597,43.059,43.996,37.58,55,  -, -, 0.00%,  0.00%,  0.00%, 2.07%,  1.54%,  3.07%, 2.13%,  0.92%, 10.61%, 7.77%,  2.90%, 40.99%,28.01%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,72712.55,6332.32,7233.56,451334.79,16,235,161.81,89,137,125.02,114,176,128.92, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.28%, 0.00%,0.00%, 11.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,265.9,0.1,112.3,0.0,316.2,0.0,283.2,3.2,27
0,1,False,3, b-SLICE,1,39.0,3488,0,3.95,34.907,43.043,43.99,37.059,57, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.61%,  3.61%, 16.67%, 16.67%,  0.56%,  1.67%,  0.56%,  1.94%,  0.00%,  8.33%,  1.39%,  1.39%,  9.44%, 31.67%,  1.94%,  0.56%,80865.65,5588.84,8153.69,81947.42,16,235,161.67,91,137,125.01,114,175,128.92, 0.00%, 56.67%,0.00%, 21.67%, 0.00%, 1.67%, 13.33%, 1.67%, 5.00%, 0.00%, 48.98%,0.00%, 30.61%, 0.00%, 3.23%, 6.63%, 2.72%, 7.82%, 0.00%, 60.00%,0.00%, 10.00%, 0.00%, 5.00%, 5.00%, 2.50%, 17.50%, 0.00%, 43.75%,0.00%, 12.50%, 0.00%, 6.25%, 37.50%, 0.00%, 0.00%,0.00%,306.2,104.2,26.6,10.3,64.2,0.0,338.5,3.207,40
0,2,False,2, B-SLICE,2,38.0,5832,0,4.05,34.727,42.936,43.95,36.906,55, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.92%,  2.34%, 14.62%, 15.01%,  6.82%,  7.02%,  1.17%,  7.02%,  0.00%,  5.26%,  1.95%,  0.58%,  5.46%, 14.62%,  8.38%,  6.82%,84224.0,5689.23,8058.8,86018.37,16,235,161.51,92,138,124.99,114,177,128.93, 0.00%, 50.91%,0.00%, 27.27%, 0.00%, 8.18%, 6.36%, 4.55%, 2.73%, 0.00%, 35.92%,0.00%, 36.27%, 0.70%, 2.82%, 8.80%, 6.34%, 9.15%, 0.00%, 42.74%,0.00%, 27.42%, 0.81%, 4.84%, 7.26%, 6.85%, 10.08%, 0.00%, 47.50%,0.00%, 6.25%, 1.25%, 2.50%, 6.25%, 2.50%, 33.75%,0.00%,301.6,91.4,28.1,9.3,67.2,0.0,319.0,2.726,27
0,3,False,4, b-SLICE,3,39.0,3304,0,3.89,34.458,42.837,43.858,36.68,56, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.54%,  6.81%, 15.05%,  8.60%,  3.94%,  2.87%,  1.79%,  1.43%,  0.00%,  5.73%,  2.15%,  1.43%, 13.62%, 17.56%,  5.38%,  1.08%,89633.59,5816.37,8608.84,90309.14,16,235,161.28,92,137,124.95,114,175,128.94, 0.00%, 41.30%,0.00%, 38.04%, 0.00%, 1.63%, 11.41%, 2.17%, 5.43%, 0.00%, 40.37%,0.00%, 44.72%, 0.00%, 3.11%, 3.73%, 3.42%, 4.66%, 0.00%, 52.50%,0.00%, 25.00%, 2.50%, 3.75%, 6.25%, 2.50%, 7.50%, 0.00%, 43.75%,0.00%, 31.25%, 0.00%, 6.25%, 6.25%, 6.25%, 6.25%,0.00%,309.9,100.5,28.9,10.3,73.1,0.0,335.7,3.096,43
0,4,False,1, P-SLICE,4,37.0,18936,0,3.93,34.423,42.685,43.708,36.617,52, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.34%,  0.17%,  0.69%, 0.60%,  0.34%,  2.15%, 0.00%,  0.34%,  0.34%,  6.19%,  7.82%, 14.18%, 12.46%,  9.54%,  8.68%,  0.00%,  1.37%,  4.73%,  4.90%,  1.89%,  4.98%, 11.86%,  6.44%,92645.61,6036.8,7713.0,173723.16,16,235,161.1,90,137,124.9,114,177,128.96, 0.00%, 73.33%,0.00%, 10.00%, 3.33%, 3.33%, 6.67%, 0.00%, 3.33%, 0.00%, 27.72%,0.00%, 27.34%, 10.86%, 9.74%, 11.99%, 7.30%, 5.06%, 2.71%, 37.33%,0.00%, 26.31%, 5.61%, 4.06%, 4.45%, 9.86%, 9.67%, 9.47%, 34.74%,0.00%, 22.89%, 6.32%, 4.08%, 5.39%, 6.32%, 10.79%,0.00%,297.1,44.7,60.7,34.4,100.9,9.3,295.0,2.77,19
0,5,False,7, b-SLICE,5,39.0,3296,0,3.93,34.128,42.74,43.8,36.414,57, 4 2 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.37%, 11.76%, 15.29%, 11.76%,  1.96%,  1.57%,  2.35%,  1.57%,  0.00%,  4.71%,  3.14%,  1.96%, 14.90%, 13.33%,  2.35%,  1.96%,96560.58,5923.44,8838.35,97845.93,16,235,160.9,90,137,124.88,114,176,129.0, 0.00%, 39.18%,0.00%, 29.90%, 0.00%, 7.73%, 9.79%, 4.12%, 9.28%, 0.00%, 31.72%,0.00%, 47.59%, 0.00%, 1.03%, 3.10%, 5.52%, 11.03%, 0.00%, 60.87%,0.00%, 21.74%, 0.00%, 6.52%, 6.52%, 0.00%, 4.35%, 0.00%, 50.00%,0.00%, 30.00%, 0.00%, 2.50%, 12.50%, 0.00%, 5.00%,0.00%,1.7,57.7,27.3,9.3,73.1,0.0,397.9,3.356,54
0,6,False,6, B-SLICE,6,38.0,5928,0,4.07,34.078,42.644,43.73,36.355,55, 4 2 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.66%,  4.66%, 17.95%, 12.35%,  5.83%,  5.36%,  3.03%,  3.96%,  0.00%,  3.26%,  4.66%,  1.17%,  7.23%, 12.59%,  6.53%,  6.76%,98012.14,6040.41,8632.13,103187.96,16,235,160.69,90,137,124.81,114,177,128.98, 0.00%, 43.66%,0.00%, 28.17%, 0.00%, 11.27%, 9.86%, 4.23%, 2.82%, 0.00%, 29.82%,0.00%, 46.49%, 0.44%, 3.29%, 6.36%, 6.14%, 7.46%, 0.00%, 50.00%,0.00%, 25.00%, 1.04%, 2.08%, 3.12%, 3.65%, 15.10%, 0.00%, 53.12%,0.00%, 15.62%, 4.69%, 6.25%, 7.81%, 1.56%, 10.94%,0.00%,1.7,52.9,32.8,9.1,92.7,0.0,378.0,3.222,36
0,7,False,8, b-SLICE,7,39.0,3048,0,3.9,33.912,42.56,43.724,36.22,56, 6 4 2 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 13.41%,  7.28%, 12.64%,  9.58%,  1.92%,  1.15%,  1.15%,  3.83%,  0.00%,  6.51%,  0.77%,  1.53%, 16.48%, 15.33%,  4.21%,  4.21%,101404.72,6110.77,9040.67,102266.6,16,235,160.53,89,137,124.79,114,180,128.99, 0.00%, 44.33%,0.00%, 36.08%, 0.00%, 4.12%, 3.09%, 5.15%, 7.22%, 0.00%, 39.31%,0.00%, 42.76%, 0.69%, 2.07%, 4.83%, 3.10%, 7.24%, 0.00%, 61.90%,0.00%, 23.81%, 0.00%, 2.38%, 2.38%, 2.38%, 7.14%, 0.00%, 53.57%,0.00%, 3.57%, 7.14%, 8.93%, 16.07%, 8.93%, 1.79%,0.00%,1.7,41.8,29.1,9.3,70.5,0.2,395.5,2.681,41
0,8,False,5, P-SLICE,8,37.0,21976,0,4.04,33.893,42.411,43.663,36.179,52, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.09%,  0.00%,  0.34%, 0.09%,  0.26%,  1.46%, 0.52%,  0.34%,  2.50%, 0.00%,  0.34%,  1.03%,  7.32%,  6.98%, 14.56%,  9.65%, 14.73%,  7.84%,  0.00%,  0.78%,  5.34%,  8.18%,  1.98%,  3.36%,  4.74%,  7.58%,104997.47,6507.48,8287.45,162237.55,16,235,160.31,87,137,124.76,114,179,129.0, 0.00%, 58.97%,0.00%, 7.69%, 2.56%, 10.26%, 10.26%, 6.41%, 3.85%, 2.01%, 19.28%,0.00%, 30.12%, 16.06%, 10.24%, 11.85%, 6.83%, 3.61%, 5.01%, 27.92%,0.00%, 25.30%, 15.04%, 5.25%, 6.44%, 7.28%, 7.76%, 8.06%, 37.81%,0.00%, 22.31%, 13.02%, 2.38%, 5.48%, 2.69%, 8.26%,0.00%,1.4,30.7,56.8,10.3,157.3,0.0,351.1,3.4,21
0,9,True,11, b-SLICE,9,39.0,3456,0,3.91,33.684,42.431,43.758,36.037,57, 8 6 ,10 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.22%,  8.52%, 16.67%,  9.26%,  2.96%,  2.59%,  2.96%,  2.59%,  0.00%,  3.33%,  0.74%,  1.48%, 14.81%, 14.07%,  4.44%,  3.33%,106856.84,6194.36,9329.65,108976.91,16,235,160.05,84,137,124.72,114,179,129.02, 0.00%, 41.67%,0.00%, 34.37%, 0.00%, 2.08%, 7.29%, 4.69%, 9.90%, 0.00%, 31.97%,0.00%, 51.02%, 0.00%, 2.04%, 2.72%, 3.74%, 8.50%, 0.00%, 48.28%,0.00%, 24.14%, 3.45%, 3.45%, 0.00%, 0.00%, 20.69%, 0.00%, 46.43%,0.00%, 17.86%, 10.71%, 5.36%, 16.07%, 0.00%, 3.57%,0.00%,1.0,57.9,32.8,17.6,71.8,0.0,463.5,2.859,42
