GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,29.0,326568,0,0.0,37.49,39.126,40.61,38.084,55,  -, -, 0.00%,  0.00%,  0.00%, 0.34%,  0.09%,  1.16%, 1.66%,  0.44%,  5.05%, 6.28%,  2.21%, 28.21%,54.56%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,46786.34,13873.64,4962.3,603589.76,16,235,94.05,59,141,111.56,103,195,140.11, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.79%, 0.00%,0.00%, 25.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,291.9,0.1,175.2,0.0,563.0,0.0,370.7,3.941,60
0,1,False,3, b-SLICE,1,34.0,10328,0,4.2,35.962,39.163,40.658,36.949,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.08%,  0.81%, 11.69%, 11.02%,  8.06%,  7.12%,  6.32%,  7.66%,  0.00%,  4.84%,  2.15%,  2.55%,  1.21%, 20.70%,  8.74%,  6.05%,64063.69,12933.29,6603.67,69486.52,16,235,94.19,59,139,111.54,105,195,140.1, 0.00%, 39.13%,0.00%, 30.43%, 4.35%, 4.35%, 17.39%, 0.00%, 4.35%, 0.00%, 48.84%,0.00%, 28.02%, 2.06%, 3.21%, 11.18%, 1.29%, 5.40%, 0.00%, 41.75%,0.00%, 24.23%, 6.70%, 6.44%, 12.11%, 1.80%, 6.96%, 0.00%, 38.10%,0.00%, 14.88%, 13.10%, 7.44%, 9.82%, 5.36%, 11.31%,0.00%,332.6,176.3,32.5,13.7,81.2,0.3,440.3,2.956,37
0,2,False,4, b-SLICE,2,34.0,10552,0,4.65,35.792,39.134,40.675,36.82,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.02%,  0.76%, 12.47%,  8.40%,  7.63%,  7.38%,  7.76%,  8.52%,  0.00%,  4.33%,  3.05%,  3.18%,  1.15%, 19.85%,  8.02%,  6.49%,66536.93,12963.5,6600.97,71281.24,16,235,94.17,59,136,111.54,106,195,140.09, 0.00%, 39.13%,0.00%, 34.78%, 0.00%, 6.52%, 6.52%, 10.87%, 2.17%, 0.00%, 49.48%,0.00%, 30.47%, 2.86%, 3.26%, 8.98%, 1.17%, 3.78%, 0.00%, 42.44%,0.00%, 22.93%, 6.34%, 3.17%, 16.83%, 1.95%, 6.34%, 0.00%, 37.25%,0.00%, 18.63%, 11.27%, 8.82%, 14.22%, 2.70%, 7.11%,0.00%,335.7,173.2,34.3,13.7,87.5,0.0,439.0,3.133,27
0,3,False,2, B-SLICE,3,33.0,21008,0,4.5,35.848,39.074,40.583,36.843,54, 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.40%,  0.48%,  8.15%,  5.04%,  9.51%,  4.88%, 18.94%, 13.75%,  0.00%,  3.12%,  3.44%,  6.79%,  0.56%,  9.75%,  5.76%,  9.43%,66177.36,13183.66,6477.13,80737.85,16,235,94.05,57,137,111.53,107,196,140.06, 0.00%, 38.89%,0.00%, 27.78%, 0.00%, 8.33%, 19.44%, 5.56%, 0.00%, 0.00%, 45.22%,0.00%, 35.11%, 1.97%, 1.83%, 7.44%, 2.25%, 6.18%, 0.00%, 38.98%,0.00%, 27.46%, 12.88%, 2.88%, 8.64%, 2.20%, 6.95%, 0.00%, 33.17%,0.00%, 25.98%, 12.75%, 6.21%, 10.62%, 4.74%, 6.54%,0.00%,328.2,147.4,47.7,15.2,114.6,0.0,415.1,2.985,49
0,4,False,5, b-SLICE,4,34.0,8688,0,4.21,35.415,39.086,40.622,36.525,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.79%,  2.95%, 10.31%, 12.15%,  8.84%,  6.45%,  6.81%,  7.37%,  0.00%,  4.24%,  3.50%,  4.42%,  4.97%,  8.10%,  7.92%,  7.18%,72507.76,13114.49,7068.11,76248.72,16,235,94.19,59,137,111.55,108,194,140.1, 0.00%, 39.13%,0.00%, 37.68%, 0.00%, 2.90%, 11.59%, 2.17%, 6.52%, 0.00%, 30.59%,0.00%, 35.16%, 4.11%, 3.88%, 15.30%, 2.51%, 8.45%, 0.00%, 42.76%,0.00%, 26.90%, 6.21%, 3.79%, 11.38%, 3.45%, 5.52%, 0.00%, 45.00%,0.00%, 12.86%, 13.57%, 4.64%, 8.21%, 2.86%, 12.86%,0.00%,1.4,40.2,38.6,13.7,91.1,1.6,437.4,2.844,27
0,5,False,6, b-SLICE,5,34.0,7912,0,4.25,35.312,38.996,40.568,36.429,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.17%,  3.92%,  7.66%, 11.76%,  8.20%,  7.13%,  7.49%,  6.06%,  0.00%,  2.50%,  3.39%,  2.14%,  3.39%,  9.80%, 12.12%,  9.27%,74208.96,13343.01,6730.81,77715.11,16,235,94.2,58,135,111.55,109,194,140.09, 0.00%, 27.14%,0.00%, 41.43%, 0.00%, 5.71%, 11.43%, 1.43%, 12.86%, 0.00%, 33.17%,0.00%, 33.17%, 1.92%, 5.05%, 16.59%, 2.40%, 7.69%, 0.00%, 50.29%,0.00%, 21.39%, 5.20%, 5.78%, 8.67%, 2.60%, 6.07%, 0.00%, 45.71%,0.00%, 19.29%, 10.71%, 8.21%, 8.21%, 3.21%, 4.64%,0.00%,1.5,14.4,38.6,13.7,90.1,1.1,436.6,2.763,33
0,6,False,1, P-SLICE,6,32.0,64920,0,5.07,35.586,38.902,40.46,36.61,50, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.08%, 0.08%,  0.04%,  0.70%, 0.31%,  0.54%,  3.94%, 0.00%,  0.15%,  0.19%,  2.74%,  2.36%,  6.03%,  5.95%, 23.45%, 25.42%,  0.00%,  0.31%,  2.20%,  4.79%,  0.04%,  2.55%,  8.46%,  9.69%,72281.77,13738.13,5733.1,155969.58,16,235,94.11,55,136,111.52,110,196,140.06, 0.00%, 10.00%,0.00%, 20.00%, 20.00%, 20.00%, 10.00%, 10.00%, 10.00%, 0.84%, 31.09%,0.00%, 27.73%, 14.71%, 5.88%, 6.72%, 7.35%, 5.67%, 3.46%, 45.47%,0.00%, 15.32%, 10.38%, 5.19%, 7.33%, 4.78%, 8.07%, 7.03%, 21.26%,0.00%, 16.16%, 18.25%, 7.26%, 13.44%, 6.75%, 9.86%,0.00%,323.6,89.1,80.4,43.8,128.7,13.0,378.9,2.0,30
0,7,False,9, b-SLICE,7,34.0,6992,0,4.6,35.395,39.091,40.478,36.492,57, 6 3 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.95%,  4.30%, 12.47%, 12.26%,  4.09%,  7.74%,  7.74%,  5.81%,  0.00%,  2.37%,  3.23%,  3.01%,  6.02%, 14.84%,  6.24%,  4.95%,72643.93,13288.33,7329.24,76005.31,16,235,94.26,59,137,111.71,111,196,140.32, 0.00%, 39.44%,0.00%, 32.39%, 0.00%, 3.52%, 13.38%, 0.70%, 10.56%, 0.00%, 35.56%,0.00%, 34.67%, 4.44%, 1.78%, 13.33%, 2.22%, 8.00%, 0.00%, 44.44%,0.00%, 18.18%, 1.01%, 4.04%, 16.16%, 2.53%, 13.64%, 0.00%, 37.00%,0.00%, 21.00%, 15.00%, 3.00%, 13.00%, 3.00%, 8.00%,0.00%,0.0,73.8,32.6,13.6,82.7,0.0,534.6,3.052,29
0,8,False,10, b-SLICE,8,34.0,7640,0,4.08,35.14,39.082,40.45,36.296,57, 6 3 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.30%,  3.60%, 10.80%, 11.93%,  6.82%,  6.25%,  6.82%,  6.63%,  0.00%,  2.08%,  3.41%,  3.60%,  4.17%, 11.93%,  7.20%,  9.47%,76953.54,13340.93,7123.16,80497.03,16,235,94.22,59,137,111.75,110,195,140.36, 0.00%, 31.88%,0.00%, 40.58%, 0.00%, 5.07%, 7.97%, 5.07%, 9.42%, 0.00%, 33.04%,0.00%, 35.71%, 3.12%, 4.02%, 12.50%, 3.35%, 8.26%, 0.00%, 44.80%,0.00%, 25.60%, 3.20%, 4.00%, 12.00%, 2.00%, 8.40%, 0.00%, 49.29%,0.00%, 17.14%, 8.57%, 6.07%, 6.79%, 2.50%, 9.64%,0.00%,0.0,70.6,33.8,13.6,85.6,0.0,533.9,2.874,35
0,9,True,8, B-SLICE,9,33.0,18864,0,5.23,35.427,39.03,40.405,36.5,54, 6 3 0 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.50%,  1.30%,  7.39%,  7.68%, 11.08%,  8.98%, 14.87%, 13.07%,  0.00%,  1.20%,  1.50%,  2.89%,  1.60%,  6.89%,  8.58%, 11.48%,72643.97,13490.8,7095.71,85398.93,16,235,94.15,57,137,111.72,111,196,140.37, 0.00%, 36.36%,0.00%, 34.09%, 0.00%, 2.27%, 15.91%, 1.14%, 10.23%, 0.00%, 30.92%,0.00%, 34.35%, 5.34%, 2.10%, 13.17%, 0.95%, 13.17%, 0.00%, 33.44%,0.00%, 21.19%, 15.56%, 3.64%, 13.25%, 3.64%, 9.27%, 0.00%, 33.96%,0.00%, 20.52%, 14.62%, 7.43%, 8.37%, 5.42%, 9.67%,0.00%,1.3,36.2,53.5,22.8,109.7,5.3,512.3,2.474,33
