GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,29.0,287360,0,0.0,37.018,40.782,40.701,37.949,55,  -, -, 0.00%,  0.00%,  0.00%, 0.64%,  0.33%,  1.00%, 1.64%,  1.16%,  6.43%, 7.90%,  3.37%, 35.34%,42.21%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,51484.43,11110.71,5878.19,486969.83,17,235,148.65,59,167,128.82,88,174,126.7, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.27%, 0.00%,0.00%, 22.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,288.4,0.1,170.2,0.0,527.9,0.0,364.7,3.622,38
0,1,False,3, b-SLICE,1,34.0,5288,0,4.65,36.169,40.909,40.829,37.344,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.04%,  0.69%, 12.09%, 16.41%,  2.59%,  4.84%,  1.73%,  4.66%,  0.00%,  7.60%,  1.21%,  1.04%,  2.42%, 30.92%,  5.70%,  7.08%,60449.62,10221.37,7147.67,61860.64,16,235,148.85,61,168,128.84,88,170,126.73, 0.00%, 58.33%,0.00%, 25.00%, 0.00%, 2.08%, 10.42%, 2.08%, 2.08%, 0.00%, 53.35%,0.00%, 23.44%, 0.48%, 2.87%, 6.22%, 2.63%, 11.00%, 0.00%, 48.19%,0.00%, 16.87%, 1.20%, 2.41%, 13.25%, 5.42%, 12.65%, 0.00%, 55.95%,0.00%, 7.14%, 4.76%, 4.76%, 3.57%, 5.95%, 17.86%,0.00%,328.2,173.4,24.5,6.4,73.2,0.0,426.9,3.348,45
0,2,False,4, b-SLICE,2,34.0,6856,0,4.4,35.99,40.853,40.796,37.199,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.32%,  0.83%, 20.30%, 12.87%,  3.30%,  5.61%,  4.79%,  4.62%,  0.00%,  6.93%,  2.64%,  3.80%,  1.82%, 23.43%,  3.14%,  4.62%,62962.38,10326.48,7498.16,65673.42,17,235,148.95,63,168,128.84,88,171,126.72, 0.00%, 45.83%,0.00%, 33.33%, 0.00%, 4.17%, 8.33%, 0.00%, 8.33%, 0.00%, 44.34%,0.00%, 36.14%, 0.72%, 2.29%, 6.39%, 2.05%, 8.07%, 0.00%, 39.33%,0.00%, 20.22%, 2.25%, 2.25%, 14.61%, 5.06%, 16.29%, 0.00%, 47.22%,0.00%, 18.52%, 8.33%, 1.85%, 2.78%, 7.41%, 13.89%,0.00%,331.4,170.2,26.5,6.4,73.8,0.0,426.6,4.126,41
0,3,False,2, B-SLICE,3,33.0,13800,0,4.67,35.876,40.747,40.707,37.088,54, 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.45%,  0.23%, 16.95%,  9.94%,  9.49%,  7.34%,  8.36%,  9.38%,  0.00%,  5.65%,  5.31%,  5.42%,  1.24%,  8.47%,  6.44%,  5.31%,64899.3,10561.4,7474.04,71676.64,18,235,148.86,61,168,128.81,90,174,126.7, 0.00%, 64.71%,0.00%, 23.53%, 0.00%, 2.94%, 8.82%, 0.00%, 0.00%, 0.00%, 31.81%,0.00%, 44.02%, 1.78%, 5.09%, 7.38%, 3.05%, 6.87%, 0.00%, 41.27%,0.00%, 30.56%, 2.78%, 3.17%, 3.97%, 6.55%, 12.10%, 0.00%, 37.70%,0.00%, 23.02%, 6.35%, 6.15%, 6.15%, 7.34%, 13.29%,0.00%,324.0,147.2,37.5,12.8,92.9,0.0,401.8,3.059,47
0,4,False,5, b-SLICE,4,34.0,7048,0,4.53,35.616,40.847,40.767,36.913,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.84%,  2.64%, 16.76%,  9.04%,  6.78%,  4.90%,  5.65%,  8.47%,  0.00%,  4.52%,  5.46%,  3.39%,  3.77%,  9.42%,  6.03%,  7.34%,68727.43,10368.55,7882.76,70964.85,17,235,149.0,64,165,128.84,89,177,126.74, 0.00%, 30.77%,0.00%, 47.69%, 0.00%, 4.62%, 7.69%, 3.85%, 5.38%, 0.00%, 30.71%,0.00%, 48.13%, 1.24%, 3.94%, 6.85%, 2.28%, 6.85%, 0.00%, 49.59%,0.00%, 26.83%, 2.44%, 2.03%, 3.66%, 4.07%, 11.38%, 0.00%, 43.18%,0.00%, 12.12%, 10.61%, 2.27%, 4.55%, 6.06%, 21.21%,0.00%,1.1,41.7,35.2,6.4,101.9,0.0,426.0,3.6,42
0,5,False,6, b-SLICE,5,34.0,6992,0,4.53,35.452,40.802,40.736,36.781,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.03%,  4.52%, 11.49%, 11.11%,  7.72%,  6.78%,  6.59%,  7.34%,  0.00%,  3.58%,  3.77%,  1.51%,  2.45%,  9.98%,  6.97%, 10.17%,71439.53,10458.91,7790.99,73722.96,16,235,149.04,62,168,128.83,89,171,126.75, 0.00%, 18.84%,0.00%, 46.38%, 0.00%, 5.80%, 11.59%, 7.97%, 9.42%, 0.00%, 32.43%,0.00%, 40.09%, 0.90%, 4.73%, 7.88%, 3.60%, 10.36%, 0.00%, 42.54%,0.00%, 28.36%, 2.24%, 4.48%, 5.97%, 5.22%, 11.19%, 0.00%, 45.59%,0.00%, 19.85%, 5.88%, 4.41%, 2.94%, 6.99%, 14.34%,0.00%,1.1,14.8,35.2,6.4,87.9,0.0,424.1,3.222,42
0,6,False,1, P-SLICE,6,32.0,42904,0,4.41,35.567,40.678,40.622,36.838,50, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.09%,  0.00%,  0.28%, 0.09%,  0.28%,  1.74%, 0.00%,  0.09%,  0.05%,  3.44%,  4.26%, 16.09%, 11.51%, 19.85%, 16.92%,  0.00%,  0.09%,  3.48%,  6.37%,  0.18%,  1.65%,  5.96%,  7.57%,71215.34,10765.84,6599.35,124614.37,16,235,148.96,63,168,128.8,87,171,126.73, 0.00%, 57.14%,0.00%, 0.00%, 28.57%, 0.00%, 0.00%, 0.00%, 14.29%, 0.00%, 16.10%,0.00%, 28.81%, 15.68%, 12.50%, 11.23%, 8.90%, 6.78%, 0.98%, 25.25%,0.00%, 26.72%, 16.30%, 5.88%, 7.23%, 7.41%, 10.23%, 3.99%, 26.39%,0.00%, 18.23%, 19.36%, 4.47%, 7.42%, 6.29%, 13.85%,0.00%,319.6,105.3,60.8,29.1,132.3,0.1,369.3,2.689,14
0,7,False,9, b-SLICE,7,34.0,6384,0,4.5,35.401,40.826,40.751,36.748,57, 6 3 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.14%,  4.52%, 18.08%,  9.23%,  5.27%,  3.01%,  4.71%,  9.23%,  0.00%,  7.16%,  4.90%,  5.65%,  2.26%, 11.68%,  5.65%,  4.52%,72116.58,10412.88,8452.78,73468.36,18,235,149.1,65,166,128.85,88,175,126.77, 0.00%, 20.69%,0.00%, 37.93%, 0.00%, 10.34%, 22.41%, 3.45%, 5.17%, 0.00%, 36.36%,0.00%, 45.09%, 0.73%, 2.00%, 6.00%, 1.64%, 8.18%, 0.00%, 56.00%,0.00%, 26.00%, 2.00%, 1.00%, 3.00%, 4.00%, 8.00%, 0.00%, 42.19%,0.00%, 14.06%, 5.47%, 5.86%, 12.11%, 5.86%, 14.45%,0.00%,0.0,81.4,36.9,11.0,98.4,0.0,530.0,3.022,53
0,8,False,10, b-SLICE,8,34.0,7552,0,4.27,35.302,40.821,40.719,36.669,57, 6 3 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.29%,  2.47%, 19.58%,  7.94%,  8.11%,  4.94%,  6.70%,  5.82%,  0.00%,  6.70%,  6.70%,  6.70%,  2.29%,  7.94%,  4.76%,  4.06%,73757.36,10457.7,8363.9,76230.56,16,235,149.18,66,165,128.84,87,179,126.78, 0.00%, 22.81%,0.00%, 52.63%, 0.00%, 3.51%, 12.28%, 4.39%, 4.39%, 0.00%, 30.86%,0.00%, 49.07%, 3.35%, 2.60%, 7.43%, 1.86%, 4.83%, 0.00%, 46.76%,0.00%, 28.78%, 4.32%, 2.88%, 7.19%, 1.80%, 8.27%, 0.00%, 46.21%,0.00%, 18.18%, 10.61%, 4.17%, 7.95%, 2.65%, 10.23%,0.00%,0.0,74.6,36.9,11.0,87.5,0.0,529.9,3.837,33
0,9,True,8, B-SLICE,9,33.0,15544,0,4.53,35.396,40.703,40.672,36.719,54, 6 3 0 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.73%,  1.30%, 13.20%,  8.12%, 11.36%,  9.74%, 12.66%, 11.15%,  0.00%,  2.81%,  4.22%,  4.44%,  0.97%,  4.98%,  6.06%,  7.25%,72505.25,10657.53,8182.58,79617.46,17,235,149.1,63,165,128.81,88,174,126.75, 0.00%, 24.32%,0.00%, 43.24%, 0.00%, 9.46%, 20.27%, 2.70%, 0.00%, 0.00%, 24.08%,0.00%, 49.83%, 1.00%, 2.84%, 9.87%, 4.85%, 7.53%, 0.00%, 32.76%,0.00%, 32.41%, 3.79%, 2.24%, 10.17%, 5.00%, 13.62%, 0.00%, 32.93%,0.00%, 26.22%, 9.45%, 6.25%, 7.47%, 4.88%, 12.80%,0.00%,1.9,45.2,50.0,21.6,132.4,0.0,500.8,3.311,32
