GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,29.0,261168,0,0.0,38.83,43.623,46.841,40.43,55,  -, -, 0.00%,  0.00%,  0.00%, 0.34%,  0.71%,  2.00%, 1.15%,  1.01%,  4.29%,22.90%, 13.57%, 43.48%,10.53%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,32791.96,4398.51,3315.91,502352.34,16,206,103.35,107,157,130.48,113,171,126.59, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.43%, 0.00%,0.00%, 16.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,223.9,0.1,149.8,0.0,466.7,0.0,275.5,3.63,28
0,1,False,3, b-SLICE,1,34.0,7936,0,3.16,35.105,43.344,46.58,37.569,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.70%,  0.87%, 21.47%, 13.09%,  4.89%,  8.38%,  3.32%,  4.89%,  0.00%,  6.63%,  2.44%,  1.22%,  5.06%, 14.83%,  6.28%,  5.93%,78034.81,4262.22,5455.72,81187.81,16,206,103.39,106,161,130.45,113,173,126.57, 0.00%, 76.32%,0.00%, 10.53%, 0.00%, 1.32%, 1.32%, 6.58%, 3.95%, 0.00%, 35.04%,0.00%, 43.30%, 0.28%, 2.14%, 7.83%, 2.42%, 8.97%, 0.00%, 39.68%,0.00%, 18.25%, 3.97%, 6.75%, 9.92%, 5.95%, 15.48%, 0.00%, 46.59%,0.00%, 9.09%, 12.50%, 3.98%, 7.39%, 4.55%, 15.91%,0.00%,277.9,147.8,27.2,6.9,89.8,0.0,349.6,3.644,40
0,2,False,4, b-SLICE,2,34.0,7400,0,3.07,35.022,43.361,46.593,37.511,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.91%,  0.35%, 23.44%, 13.37%,  3.99%,  4.86%,  3.47%,  6.08%,  0.00%,  5.56%,  3.12%,  1.56%,  4.34%, 13.89%,  7.12%,  6.94%,79370.76,4247.11,5582.93,81845.96,16,208,103.29,106,157,130.42,114,167,126.6, 0.00%, 65.79%,0.00%, 21.05%, 7.89%, 0.00%, 0.00%, 2.63%, 2.63%, 0.00%, 31.64%,0.00%, 45.48%, 1.13%, 1.98%, 8.47%, 1.98%, 9.32%, 0.00%, 53.64%,0.00%, 16.36%, 4.55%, 2.27%, 7.73%, 3.18%, 12.27%, 0.00%, 47.12%,0.00%, 12.50%, 6.73%, 2.40%, 4.33%, 6.73%, 20.19%,0.00%,281.7,143.9,29.1,6.9,80.7,0.0,349.0,3.667,40
0,3,False,2, B-SLICE,3,33.0,19272,0,3.1,35.054,43.431,46.597,37.544,54, 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.84%,  0.74%, 12.66%,  7.28%, 12.55%, 10.44%, 15.30%,  6.86%,  0.00%,  3.27%,  5.49%,  8.44%,  1.90%,  6.33%,  4.32%,  3.59%,79591.49,4199.5,5172.86,88028.98,16,216,103.3,106,157,130.41,114,163,126.59, 0.00%, 54.55%,0.00%, 21.21%, 3.03%, 1.52%, 4.55%, 3.03%, 12.12%, 0.00%, 29.35%,0.00%, 47.10%, 1.29%, 3.71%, 8.23%, 2.90%, 7.42%, 0.00%, 29.90%,0.00%, 34.73%, 3.54%, 4.98%, 12.06%, 3.38%, 11.41%, 0.00%, 35.19%,0.00%, 20.99%, 23.77%, 2.16%, 3.70%, 4.17%, 10.03%,0.00%,273.7,111.0,48.5,18.4,106.5,0.0,323.4,2.548,49
0,4,False,5, b-SLICE,4,34.0,7984,0,3.09,34.758,43.343,46.539,37.304,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.83%,  3.23%, 21.41%, 10.91%,  7.07%,  6.06%,  4.24%,  5.05%,  0.00%,  4.24%,  2.02%,  2.02%,  5.86%, 12.12%,  7.27%,  5.66%,84152.59,4275.9,5933.89,88579.05,16,215,103.33,108,159,130.41,114,168,126.6, 0.00%, 49.15%,0.00%, 23.73%, 0.00%, 3.39%, 10.17%, 7.63%, 5.93%, 0.00%, 29.89%,0.00%, 49.82%, 0.37%, 2.77%, 4.24%, 3.51%, 9.41%, 0.00%, 41.44%,0.00%, 23.42%, 8.11%, 3.60%, 9.91%, 3.60%, 9.91%, 0.00%, 45.24%,0.00%, 8.33%, 16.67%, 3.57%, 10.71%, 1.79%, 13.69%,0.00%,1.6,50.2,34.5,6.9,100.4,0.0,348.4,3.519,32
0,5,False,6, b-SLICE,5,34.0,7240,0,3.16,34.69,43.328,46.649,37.265,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.09%,  3.07%, 22.49%, 10.63%,  7.36%,  5.73%,  4.70%,  5.73%,  0.00%,  5.73%,  2.25%,  2.25%,  5.11%, 10.02%,  5.52%,  5.32%,85536.19,4251.5,5942.48,88595.49,16,216,103.31,107,157,130.42,114,163,126.62, 0.00%, 41.67%,0.00%, 33.33%, 0.00%, 0.83%, 14.17%, 4.17%, 5.83%, 0.00%, 28.62%,0.00%, 51.30%, 0.74%, 3.16%, 6.88%, 3.16%, 6.13%, 0.00%, 37.25%,0.00%, 32.35%, 2.94%, 0.49%, 5.39%, 5.39%, 16.18%, 0.00%, 42.05%,0.00%, 15.91%, 10.23%, 1.70%, 3.98%, 6.25%, 19.89%,0.00%,1.6,19.1,34.6,6.9,96.5,0.0,348.1,3.348,39
0,6,False,1, P-SLICE,6,32.0,63448,0,3.12,35.274,43.23,46.409,37.661,50, 0 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.13%,  0.21%, 0.17%,  0.13%,  0.34%, 1.55%,  0.84%,  3.78%, 0.00%,  0.34%,  0.25%,  1.89%,  2.27%,  9.40%, 12.72%, 26.36%, 13.69%,  0.00%,  0.25%,  1.93%,  3.90%,  0.34%,  1.30%,  6.34%, 11.84%,78490.73,4399.87,4171.65,133039.02,16,208,103.28,108,158,130.4,110,156,126.6, 0.00%, 36.36%,0.00%, 13.64%, 22.73%, 6.82%, 6.82%, 4.55%, 9.09%, 5.14%, 21.14%,0.00%, 28.00%, 14.86%, 6.57%, 7.71%, 7.71%, 8.86%, 2.03%, 26.66%,0.00%, 24.22%, 6.09%, 7.78%, 10.35%, 9.13%, 13.73%, 9.96%, 25.41%,0.00%, 20.66%, 21.88%, 2.44%, 4.67%, 4.71%, 10.26%,0.00%,269.3,62.7,73.0,33.4,153.2,3.5,289.2,2.741,28
0,7,False,9, b-SLICE,7,34.0,7136,0,2.99,34.6,43.393,46.585,37.197,57, 6 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.55%,  2.60%, 21.86%,  7.36%,  6.93%,  3.25%,  4.98%,  2.16%,  0.00%,  6.49%,  4.98%,  0.87%,  5.84%, 16.67%,  5.63%,  5.84%,87268.73,4228.62,6233.92,89793.64,16,210,103.02,107,159,130.39,113,161,126.61, 0.00%, 45.00%,0.00%, 33.33%, 1.67%, 2.50%, 10.83%, 0.83%, 5.83%, 0.00%, 39.34%,0.00%, 44.49%, 3.68%, 0.92%, 2.39%, 1.47%, 7.72%, 0.00%, 51.04%,0.00%, 26.04%, 7.29%, 3.65%, 5.73%, 2.60%, 3.65%, 0.00%, 48.44%,0.00%, 20.31%, 15.62%, 2.34%, 2.34%, 2.34%, 8.59%,0.00%,0.0,59.7,35.6,16.1,88.5,0.0,434.0,3.126,33
0,8,False,8, B-SLICE,8,33.0,18976,0,3.02,34.818,43.381,46.563,37.357,55, 6 3 0 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.27%,  0.84%, 15.53%,  8.12%, 10.75%,  9.92%, 14.34%,  5.62%,  0.00%,  2.27%,  5.26%,  6.69%,  1.91%,  5.38%,  3.82%,  7.29%,83486.67,4243.12,5697.24,91611.76,16,205,102.8,107,159,130.36,111,161,126.63, 0.00%, 38.10%,0.00%, 38.10%, 7.14%, 3.57%, 5.95%, 3.57%, 3.57%, 0.00%, 21.92%,0.00%, 50.34%, 4.45%, 4.28%, 9.08%, 2.23%, 7.71%, 0.00%, 30.52%,0.00%, 29.72%, 6.43%, 4.42%, 9.24%, 4.42%, 15.26%, 0.00%, 41.20%,0.00%, 23.59%, 18.66%, 2.64%, 3.70%, 2.82%, 7.39%,0.00%,1.8,27.0,51.4,18.8,131.7,0.0,413.3,3.215,36
0,9,True,10, b-SLICE,9,34.0,6888,0,2.97,34.615,43.369,46.63,37.211,56, 8 6 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.67%,  4.33%, 22.14%,  9.16%,  5.85%,  3.82%,  4.83%,  3.82%,  0.00%,  5.85%,  4.83%,  3.31%,  5.09%, 10.94%,  3.05%,  3.31%,86740.07,4230.15,6479.0,90813.11,16,211,102.27,107,157,130.31,112,171,126.66, 0.00%, 26.67%,0.00%, 42.67%, 8.00%, 6.00%, 11.33%, 2.00%, 3.33%, 0.00%, 30.14%,0.00%, 52.05%, 1.37%, 2.74%, 6.39%, 0.68%, 6.62%, 0.00%, 44.93%,0.00%, 26.09%, 7.25%, 2.17%, 6.52%, 2.90%, 10.14%, 0.00%, 43.33%,0.00%, 13.33%, 18.33%, 1.67%, 1.67%, 4.17%, 17.50%,0.00%,0.0,56.0,37.4,16.1,102.5,0.0,431.8,3.215,28
