GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,34.0,140576,0,0.0,34.504,37.938,38.959,35.491,55,  -, -, 0.00%,  0.00%,  0.00%, 1.73%,  0.96%,  2.67%, 3.44%,  1.49%,  9.77%, 6.74%,  3.08%, 34.35%,35.76%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,92815.03,19231.89,7783.08,662360.2,27,235,169.74,65,157,126.33,99,199,124.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 86.67%, 0.00%,0.00%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,267.7,0.1,117.2,0.1,360.2,0.0,293.4,3.333,53
0,1,False,3, b-SLICE,1,39.0,2824,0,4.71,34.034,38.033,39.077,35.164,57, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.71%,  1.90%, 10.30%, 10.30%,  0.81%,  2.17%,  0.54%,  2.44%,  0.00%,  8.13%,  1.08%,  1.90%, 11.92%, 40.92%,  4.34%,  0.54%,98694.87,17538.57,8567.12,99604.34,25,235,169.86,66,157,126.36,99,206,124.89, 0.00%, 72.13%,0.00%, 16.39%, 0.00%, 4.10%, 2.46%, 0.82%, 4.10%, 0.00%, 63.07%,0.00%, 23.69%, 0.00%, 1.57%, 3.66%, 2.26%, 5.75%, 0.00%, 64.52%,0.00%, 9.68%, 0.00%, 1.61%, 4.84%, 4.84%, 14.52%, 0.00%, 45.00%,0.00%, 10.00%, 0.00%, 5.00%, 25.00%, 0.00%, 15.00%,0.00%,306.4,102.2,18.8,5.8,56.3,0.0,330.5,3.474,51
0,2,False,2, B-SLICE,2,38.0,5240,0,4.31,33.8,37.926,39.035,34.97,55, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.56%,  1.38%, 14.40%, 14.00%,  3.35%,  4.34%,  2.76%,  6.31%,  0.00%,  4.14%,  5.13%,  3.35%,  5.72%, 24.06%,  4.34%,  4.14%,104402.22,17860.05,8645.4,109625.16,25,235,169.96,65,158,126.35,98,201,124.84, 0.00%, 59.18%,0.00%, 26.53%, 0.00%, 3.06%, 7.14%, 1.02%, 3.06%, 0.00%, 45.11%,0.00%, 32.18%, 0.32%, 3.79%, 8.83%, 2.21%, 7.57%, 0.00%, 55.17%,0.00%, 18.39%, 1.15%, 2.87%, 9.77%, 2.87%, 9.77%, 0.00%, 45.24%,0.00%, 10.71%, 5.95%, 5.36%, 14.88%, 4.76%, 13.10%,0.00%,303.2,89.3,22.1,7.7,65.6,0.0,313.8,3.6,37
0,3,False,4, b-SLICE,3,39.0,2712,0,4.44,33.515,37.988,39.076,34.769,56, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.61%,  9.36%,  8.24%,  5.62%,  1.87%,  3.00%,  2.62%,  3.75%,  0.00%,  3.00%,  4.87%,  3.00%, 17.23%, 17.23%,  3.00%,  5.62%,111391.96,17643.1,8927.09,112125.16,26,235,170.14,65,159,126.39,97,209,124.87, 0.00%, 45.10%,0.00%, 30.39%, 0.00%, 2.94%, 5.88%, 5.39%, 10.29%, 0.00%, 44.63%,0.00%, 42.15%, 0.83%, 2.48%, 1.65%, 3.72%, 4.55%, 0.00%, 61.76%,0.00%, 14.71%, 0.00%, 1.47%, 4.41%, 7.35%, 10.29%, 0.00%, 57.50%,0.00%, 15.00%, 2.50%, 5.00%, 5.00%, 1.25%, 13.75%,0.00%,309.4,99.1,21.8,5.7,67.3,0.0,326.8,3.326,45
0,4,False,1, P-SLICE,4,37.0,14640,0,4.04,33.333,37.863,38.97,34.604,52, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.09%,  0.28%,  0.76%, 0.00%,  0.47%,  0.47%,  8.05%,  6.91%, 13.54%,  7.01%,  9.94%,  9.66%,  0.00%,  1.70%,  3.69%,  2.84%,  1.89%,  8.62%, 13.92%, 10.13%,118451.48,18179.19,8099.63,148019.13,26,235,170.19,67,158,126.36,96,200,124.81, 0.00%, 66.67%,0.00%, 13.33%, 3.33%, 3.33%, 6.67%, 5.00%, 1.67%, 0.00%, 36.70%,0.00%, 25.25%, 13.47%, 4.55%, 5.89%, 5.56%, 8.59%, 0.00%, 46.15%,0.00%, 23.57%, 11.91%, 2.48%, 4.96%, 2.98%, 7.94%, 3.37%, 38.48%,0.00%, 14.04%, 15.45%, 3.23%, 9.13%, 4.07%, 12.22%,0.00%,300.0,60.5,40.0,19.6,74.4,3.6,294.0,2.622,28
0,5,False,7, b-SLICE,5,39.0,3416,0,4.87,33.275,37.989,39.065,34.588,57, 4 2 ,7 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.88%,  9.12%,  9.47%, 12.28%,  3.86%,  5.26%,  1.05%,  3.51%,  0.00%,  2.46%,  3.16%,  4.56%, 14.04%, 13.68%,  4.56%,  2.11%,117673.91,17660.73,9530.5,118659.96,24,235,170.3,67,159,126.4,96,203,124.82, 0.00%, 41.24%,0.00%, 31.96%, 0.00%, 2.58%, 8.76%, 4.64%, 10.82%, 0.00%, 33.33%,0.00%, 41.30%, 0.00%, 1.45%, 5.80%, 6.16%, 11.96%, 0.00%, 45.83%,0.00%, 22.92%, 0.00%, 3.12%, 9.37%, 8.33%, 10.42%, 0.00%, 59.38%,0.00%, 9.38%, 0.00%, 3.12%, 12.50%, 1.56%, 14.06%,0.00%,1.0,66.9,32.7,7.7,84.2,0.0,405.9,3.089,52
0,6,False,8, b-SLICE,6,39.0,3000,0,3.9,32.988,37.878,39.022,34.353,57, 4 2 ,7 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.33%,  9.33%,  7.00%,  8.33%,  3.67%,  3.33%,  1.33%,  4.33%,  0.00%,  4.67%,  1.67%,  2.00%, 13.33%, 17.00%,  7.67%,  7.00%,125695.03,17995.27,9779.28,126373.04,27,235,170.33,66,158,126.37,93,194,124.77, 0.00%, 41.67%,0.00%, 29.17%, 0.00%, 5.73%, 11.98%, 3.12%, 8.33%, 0.00%, 46.10%,0.00%, 35.46%, 0.71%, 2.13%, 4.26%, 3.19%, 8.16%, 0.00%, 57.14%,0.00%, 20.41%, 2.04%, 2.04%, 6.12%, 2.04%, 10.20%, 0.00%, 61.36%,0.00%, 9.09%, 0.00%, 4.55%, 2.27%, 3.41%, 19.32%,0.00%,0.9,54.2,32.7,7.6,76.5,0.0,404.9,2.763,46
0,7,False,6, B-SLICE,7,38.0,7792,0,4.36,33.09,37.899,39.053,34.436,54, 4 2 0 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.31%,  2.37%, 15.19%,  9.86%,  7.30%,  4.34%,  6.71%,  9.27%,  0.00%,  2.17%,  1.58%,  3.16%,  5.13%, 11.44%,  6.71%,  8.48%,123230.99,17913.16,9579.05,132368.08,24,235,170.43,66,158,126.41,96,199,124.78, 0.00%, 37.14%,0.00%, 45.71%, 0.00%, 2.14%, 7.86%, 3.57%, 3.57%, 0.00%, 30.53%,0.00%, 45.58%, 1.77%, 4.87%, 6.19%, 2.65%, 8.41%, 0.00%, 41.58%,0.00%, 27.72%, 8.91%, 0.99%, 5.94%, 4.95%, 9.90%, 0.00%, 42.14%,0.00%, 16.43%, 7.86%, 3.21%, 8.21%, 3.57%, 18.57%,0.00%,1.0,54.6,34.3,10.0,89.4,0.0,376.5,2.896,42
0,8,False,9, b-SLICE,8,39.0,4384,0,3.96,32.863,37.805,38.989,34.246,56, 7 4 2 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.21%,  4.07%,  9.76%,  7.05%,  5.42%,  7.86%,  2.71%,  5.96%,  0.00%,  2.17%,  4.07%,  1.90%, 10.03%, 19.24%,  5.96%,  4.61%,129398.62,18225.38,9917.11,132494.48,23,235,170.49,66,159,126.37,102,204,124.74, 0.00%, 43.02%,0.00%, 39.53%, 0.00%, 2.33%, 6.98%, 2.91%, 5.23%, 0.00%, 46.20%,0.00%, 38.01%, 0.58%, 2.92%, 6.43%, 1.75%, 4.09%, 0.00%, 43.02%,0.00%, 19.77%, 3.49%, 4.65%, 6.98%, 4.07%, 18.02%, 0.00%, 42.86%,0.00%, 10.71%, 7.14%, 6.25%, 13.39%, 5.36%, 14.29%,0.00%,0.0,52.1,34.3,7.7,85.6,0.0,402.4,3.081,43
0,9,True,10, b-SLICE,9,39.0,4288,0,3.95,32.793,37.838,38.96,34.194,56, 7 4 2 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.47%,  3.01%, 13.11%, 11.20%,  2.46%,  4.64%,  3.55%,  6.28%,  0.00%,  2.19%,  3.28%,  4.92%, 11.20%, 17.21%,  4.64%,  3.83%,131548.22,18201.03,9800.4,133474.9,24,235,170.6,65,158,126.38,102,204,124.7, 0.00%, 49.40%,0.00%, 37.35%, 0.00%, 0.60%, 7.83%, 2.41%, 2.41%, 0.00%, 37.37%,0.00%, 40.53%, 0.53%, 3.16%, 5.79%, 3.95%, 8.68%, 0.00%, 52.73%,0.00%, 16.36%, 0.00%, 0.91%, 4.55%, 3.64%, 21.82%, 0.00%, 47.06%,0.00%, 14.71%, 4.41%, 6.62%, 15.44%, 2.94%, 8.82%,0.00%,0.0,15.2,36.0,7.7,86.1,0.0,402.1,3.141,36
