GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,34.0,294168,0,0.0,31.049,37.312,39.61,32.902,55,  -, -, 0.00%,  0.00%,  0.00%, 0.67%,  0.62%,  1.38%, 2.29%,  2.18%,  9.28%, 9.46%,  5.24%, 28.34%,40.55%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,201882.73,19518.76,13518.42,1201656.7,16,235,113.81,72,155,117.18,105,200,129.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%, 0.00%,0.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,313.1,0.1,177.4,0.0,565.9,0.0,393.4,3.481,41
0,1,False,3, b-SLICE,1,39.0,6552,0,3.94,30.165,37.372,39.616,32.248,57, 0 ,2 3 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.64%,  1.09%, 21.68%, 11.66%,  6.56%,  4.74%,  5.28%,  2.00%,  0.00%,  8.38%,  2.73%,  2.55%,  1.64%, 20.22%,  4.55%,  3.28%,240670.05,18252.59,17801.79,245511.07,16,235,113.92,69,154,117.27,105,204,129.26, 0.00%, 25.71%,0.00%, 54.29%, 2.86%, 7.14%, 10.00%, 0.00%, 0.00%, 0.00%, 42.43%,0.00%, 40.27%, 0.00%, 6.22%, 7.30%, 0.54%, 3.24%, 0.00%, 39.22%,0.00%, 32.35%, 2.94%, 6.37%, 13.24%, 0.49%, 5.39%, 0.00%, 44.44%,0.00%, 18.06%, 22.22%, 2.08%, 7.64%, 2.78%, 2.78%,0.00%,345.4,185.4,24.4,8.3,70.5,0.0,453.0,3.556,34
0,2,False,2, B-SLICE,2,38.0,10168,0,3.97,30.015,37.346,39.608,32.13,55, 0 ,3 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.56%,  1.69%, 17.51%, 13.10%,  7.26%,  9.21%,  7.39%,  7.39%,  0.00%,  4.67%,  5.71%,  5.19%,  0.39%,  8.04%,  4.41%,  6.49%,249385.98,18334.87,18022.07,257445.24,16,235,113.66,66,155,117.25,105,204,129.27, 0.00%, 10.71%,0.00%, 42.86%, 0.00%, 7.14%, 39.29%, 0.00%, 0.00%, 0.00%, 26.92%,0.00%, 44.51%, 0.82%, 8.65%, 12.77%, 1.24%, 5.08%, 0.00%, 38.05%,0.00%, 24.88%, 2.44%, 6.83%, 13.66%, 4.88%, 9.27%, 0.00%, 44.12%,0.00%, 18.63%, 9.31%, 5.88%, 13.24%, 1.96%, 6.86%,0.00%,341.2,166.2,32.1,9.1,90.2,0.0,433.4,3.926,42
0,3,False,1, P-SLICE,3,37.0,30528,0,3.75,29.843,37.27,39.543,31.984,53, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.33%,  0.16%,  1.09%, 0.00%,  0.05%,  0.11%,  7.03%,  5.88%, 10.51%, 18.36%, 12.42%, 15.41%,  0.00%,  0.44%,  3.76%,  6.54%,  0.00%,  1.14%,  6.32%, 10.46%,265752.87,18686.94,14868.7,328424.66,16,235,113.51,73,155,117.33,105,206,129.39, 0.00%, 0.00%,0.00%, 0.00%, 33.33%, 33.33%, 0.00%, 33.33%, 0.00%, 0.00%, 9.80%,0.00%, 34.12%, 19.59%, 16.89%, 13.51%, 3.21%, 2.87%, 0.00%, 25.87%,0.00%, 17.34%, 9.65%, 19.37%, 18.81%, 3.36%, 5.59%, 3.40%, 36.62%,0.00%, 17.14%, 9.62%, 5.81%, 12.73%, 4.99%, 9.68%,0.00%,337.0,118.7,61.6,30.4,128.4,1.0,409.1,2.933,49
0,4,False,6, b-SLICE,4,39.0,5224,0,4.16,29.559,37.352,39.595,31.788,57, 3 2 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.80%,  4.90%, 15.93%, 14.22%,  5.88%,  6.62%,  3.19%,  4.90%,  0.00%,  3.43%,  3.43%,  1.23%,  3.92%, 10.29%,  6.86%,  5.39%,276883.54,18337.79,19311.65,280594.01,16,235,113.42,72,153,117.31,107,198,129.38, 0.00%, 21.05%,0.00%, 47.37%, 5.26%, 11.18%, 12.50%, 0.00%, 2.63%, 0.00%, 26.79%,0.00%, 40.67%, 4.78%, 6.46%, 14.11%, 1.67%, 5.50%, 0.00%, 45.16%,0.00%, 22.58%, 3.23%, 6.45%, 16.13%, 3.76%, 2.69%, 0.00%, 45.00%,0.00%, 13.33%, 8.33%, 2.50%, 10.83%, 4.17%, 15.83%,0.00%,1.4,87.3,30.5,13.4,77.5,0.0,526.2,3.23,27
0,5,False,5, B-SLICE,5,38.0,11808,0,3.74,29.416,37.409,39.503,31.676,55, 3 2 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.18%,  3.67%, 14.69%, 11.97%, 13.06%, 10.88%,  8.16%,  9.80%,  0.00%,  2.99%,  3.95%,  3.13%,  0.54%,  3.95%,  6.53%,  4.49%,286865.74,18334.93,19375.66,297615.98,16,235,113.23,74,154,117.41,103,201,129.48, 0.00%, 8.51%,0.00%, 31.91%, 2.13%, 24.47%, 20.21%, 8.51%, 4.26%, 0.00%, 18.41%,0.00%, 47.29%, 2.53%, 14.62%, 12.45%, 1.99%, 2.71%, 0.00%, 30.43%,0.00%, 33.99%, 3.95%, 7.91%, 13.83%, 3.36%, 6.52%, 0.00%, 29.79%,0.00%, 21.81%, 10.11%, 6.38%, 17.02%, 2.66%, 12.23%,0.00%,1.2,80.4,47.7,16.5,133.0,0.0,507.7,3.178,45
0,6,False,7, b-SLICE,6,39.0,4936,0,4.73,29.296,37.433,39.502,31.589,56, 5 3 2 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.49%,  7.59%, 14.91%, 13.01%,  6.50%,  5.42%,  1.36%,  4.07%,  0.00%,  4.07%,  4.34%,  0.00%,  4.88%, 11.92%,  7.05%,  5.42%,293923.9,18273.98,20561.15,297533.67,16,235,112.85,69,155,117.39,107,199,129.46, 0.00%, 22.22%,0.00%, 41.98%, 1.23%, 12.35%, 16.05%, 1.23%, 4.94%, 0.00%, 30.73%,0.00%, 41.67%, 2.60%, 7.29%, 10.94%, 2.34%, 4.43%, 0.00%, 48.84%,0.00%, 27.91%, 0.00%, 4.65%, 6.98%, 2.33%, 9.30%, 0.00%, 50.00%,0.00%, 7.50%, 5.00%, 3.75%, 8.75%, 7.50%, 17.50%,0.00%,1.3,65.2,34.0,13.4,81.0,0.0,525.7,3.022,68
0,7,False,4, P-SLICE,7,37.0,39072,0,3.93,29.292,37.363,39.272,31.548,52, 3 2 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.05%,  0.00%, 0.16%,  0.10%,  0.73%, 0.00%,  0.00%,  0.62%,  3.85%,  7.50%,  9.06%, 13.33%, 17.92%, 19.90%,  0.00%,  0.42%,  2.55%,  4.84%,  0.00%,  1.30%,  4.84%, 12.81%,301439.93,19704.43,16756.5,380613.62,16,235,112.59,70,155,117.4,110,201,129.47, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 54.17%, 12.50%, 29.17%, 4.17%, 0.00%, 11.74%,0.00%, 29.18%, 7.83%, 19.93%, 18.86%, 7.65%, 4.80%, 0.17%, 24.78%,0.00%, 20.59%, 9.77%, 15.36%, 20.07%, 3.75%, 5.50%, 1.75%, 31.27%,0.00%, 19.46%, 12.27%, 4.84%, 17.94%, 2.86%, 9.59%,0.00%,349.5,181.1,59.3,8.4,175.2,0.0,473.8,3.496,46
0,8,False,10, b-SLICE,8,39.0,4936,0,4.64,29.125,37.385,39.394,31.441,57, 7 5 ,9 11 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.42%,  7.27%, 22.12%, 10.91%,  4.55%,  2.12%,  3.33%,  4.55%,  0.00%,  4.24%,  2.73%,  3.33%,  6.06%, 10.00%,  4.24%,  2.12%,306105.98,18575.93,20925.39,309710.98,16,235,112.34,70,153,117.3,110,198,129.41, 0.00%, 23.53%,0.00%, 45.88%, 2.35%, 7.06%, 9.41%, 5.29%, 6.47%, 0.00%, 25.27%,0.00%, 53.76%, 1.61%, 4.30%, 6.45%, 2.96%, 5.65%, 0.00%, 51.11%,0.00%, 28.89%, 4.44%, 2.22%, 4.44%, 2.22%, 6.67%, 0.00%, 40.91%,0.00%, 13.64%, 11.36%, 2.27%, 15.91%, 3.41%, 12.50%,0.00%,1.0,64.1,25.7,4.4,83.9,0.0,592.5,4.474,37
0,9,True,9, B-SLICE,9,38.0,9944,0,4.09,29.121,37.424,39.496,31.456,55, 7 5 2 ,11 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.23%,  4.74%, 17.60%, 14.38%, 10.49%,  9.48%,  7.28%,  5.75%,  0.00%,  3.89%,  4.40%,  4.74%,  0.68%,  3.05%,  5.41%,  3.89%,306818.0,18305.64,20989.34,316370.73,16,235,112.05,72,154,117.37,110,202,129.44, 0.00%, 7.02%,0.00%, 42.11%, 1.75%, 28.07%, 17.54%, 1.75%, 1.75%, 0.00%, 15.77%,0.00%, 48.46%, 3.08%, 13.85%, 10.77%, 3.08%, 5.00%, 0.00%, 32.95%,0.00%, 32.95%, 2.27%, 7.39%, 12.50%, 2.84%, 9.09%, 0.00%, 39.84%,0.00%, 22.66%, 10.94%, 4.69%, 5.47%, 4.30%, 12.11%,0.00%,0.0,66.5,33.3,8.1,107.4,0.0,569.6,3.748,43
