Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     232672, 0,0.00,32.702, 37.070, 38.987, 34.034,55,  -, -, 0.00%,  0.00%,  0.00%, 0.30%,  0.28%,  1.27%, 1.76%,  0.74%,  6.31%, 4.82%,  2.57%, 35.13%,46.83%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 141557.47, 21574.84, 10029.77, 1036937.70 , 16, 235, 96.55, 62, 147, 121.14, 86, 180, 135.04, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.56%, 0.00%,0.00%, 23.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 290.9, 0.1, 160.4, 0.0, 498.7, 0.0, 362.5, 3.615, 38
1, P-SLICE,    4, 37.00,      20984, 0,4.36,31.495, 37.048, 39.015, 33.129,52, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.06%, 0.06%,  0.06%,  0.74%, 0.00%,  0.12%,  0.12%,  3.77%,  7.28%, 15.12%, 14.94%,  7.72%,  9.69%,  0.00%,  0.93%,  7.47%,  6.17%,  0.00%,  3.09%, 16.48%,  6.17%, 180757.37, 20189.01, 10266.02, 209907.30 , 16, 235, 97.37, 61, 149, 121.14, 81, 179, 135.03, 0.00%, 0.00%,0.00%, 25.00%, 25.00%, 12.50%, 12.50%, 25.00%, 0.00%, 0.00%, 23.72%,0.00%, 27.01%, 6.20%, 9.49%, 8.03%, 12.04%, 13.50%, 0.11%, 44.29%,0.00%, 21.35%, 6.62%, 5.31%, 9.42%, 4.51%, 8.39%, 2.82%, 40.32%,0.00%, 18.35%, 6.85%, 5.34%, 10.58%, 4.33%, 11.39%,0.00%, 337.0, 66.4, 63.9, 42.0, 91.0, 14.5, 364.8, 2.570, 16
2, B-SLICE,    2, 38.00,       6992, 0,4.49,31.844, 37.084, 39.061, 33.401,55, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.62%,  0.81%, 21.52%, 16.34%,  2.91%,  5.02%,  1.62%,  6.31%,  0.00%,  9.22%,  1.94%,  0.65%,  0.49%, 18.77%,  6.47%,  6.31%, 163556.36, 19965.62, 11686.66, 168144.46 , 16, 235, 96.88, 60, 150, 121.21, 87, 181, 135.08, 0.00%, 16.67%,0.00%, 55.56%, 0.00%, 5.56%, 16.67%, 5.56%, 0.00%, 0.00%, 39.59%,0.00%, 37.07%, 0.23%, 3.55%, 8.12%, 2.86%, 8.58%, 0.00%, 51.49%,0.00%, 17.82%, 0.00%, 4.46%, 9.41%, 3.47%, 13.37%, 0.00%, 46.74%,0.00%, 8.70%, 2.17%, 11.96%, 17.39%, 4.89%, 8.15%,0.00%, 342.6, 111.5, 31.1, 12.5, 85.3, 0.0, 387.6, 3.363, 38
3, b-SLICE,    1, 39.00,       3808, 0,4.41,31.951, 37.185, 39.096, 33.499,57, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.03%,  2.88%, 14.20%, 16.67%,  1.23%,  3.29%,  0.82%,  1.23%,  0.00%,  5.76%,  1.44%,  1.23%,  1.65%, 43.21%,  4.53%,  0.82%, 159364.12, 19621.73, 11394.30, 160433.98 , 16, 235, 96.63, 59, 149, 121.17, 81, 181, 135.01, 0.00%, 29.63%,0.00%, 18.52%, 0.00%, 3.70%, 14.81%, 3.70%, 29.63%, 0.00%, 56.94%,0.00%, 23.21%, 0.48%, 1.56%, 4.19%, 2.75%, 10.89%, 0.00%, 56.86%,0.00%, 7.84%, 3.92%, 4.90%, 14.71%, 2.94%, 8.82%, 0.00%, 50.00%,0.00%, 15.00%, 5.00%, 2.50%, 7.50%, 5.00%, 15.00%,0.00%, 346.5, 130.4, 25.0, 7.9, 77.0, 0.0, 408.4, 3.400, 35
4, b-SLICE,    3, 39.00,       3512, 0,4.64,31.588, 37.151, 39.103, 33.223,56, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.74%,  9.82%, 14.04%, 12.63%,  4.91%,  3.16%,  0.00%,  3.16%,  0.00%,  3.86%,  3.86%,  0.00%,  8.42%, 11.58%,  5.96%,  3.86%, 173234.21, 19703.40, 12362.57, 175365.45 , 16, 235, 97.14, 63, 149, 121.20, 85, 180, 135.07, 0.00%, 25.53%,0.00%, 44.68%, 0.00%, 4.26%, 5.32%, 4.26%, 15.96%, 0.00%, 29.33%,0.00%, 45.33%, 1.33%, 3.33%, 8.67%, 1.67%, 10.33%, 0.00%, 54.90%,0.00%, 25.49%, 1.96%, 1.96%, 5.88%, 0.98%, 8.82%, 0.00%, 55.00%,0.00%, 0.00%, 0.00%, 2.50%, 17.50%, 7.50%, 17.50%,0.00%, 349.6, 127.3, 26.8, 7.9, 78.4, 0.0, 404.9, 3.630, 41
5, P-SLICE,    8, 37.00,      29464, 0,4.47,31.137, 36.990, 38.976, 32.848,52, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.12%, 0.12%,  0.06%,  1.13%, 0.00%,  0.12%,  0.59%,  5.28%,  8.19%, 11.45%, 12.22%, 18.09%, 11.92%,  0.00%,  0.65%,  4.80%,  7.35%,  0.12%,  1.07%,  6.05%, 10.68%, 197278.70, 20406.94, 10925.15, 246124.30 , 16, 235, 98.22, 60, 148, 121.11, 86, 180, 135.07, 0.00%, 14.29%,0.00%, 14.29%, 0.00%, 17.86%, 3.57%, 35.71%, 14.29%, 0.00%, 10.14%,0.00%, 30.07%, 11.54%, 19.06%, 12.41%, 7.34%, 9.44%, 0.34%, 31.34%,0.00%, 24.66%, 8.39%, 8.73%, 11.99%, 4.45%, 10.10%, 2.64%, 36.54%,0.00%, 22.96%, 13.70%, 4.03%, 7.51%, 3.06%, 9.56%,0.00%, 1.1, 24.5, 56.4, 7.9, 179.2, 0.0, 422.7, 3.726, 59
6, B-SLICE,    6, 38.00,       8024, 0,4.45,31.341, 37.052, 39.043, 33.017,55, 4 2 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.10%,  4.10%, 17.11%, 14.62%,  4.28%,  9.63%,  4.81%,  7.66%,  0.00%,  3.92%,  3.03%,  3.03%,  1.25%, 10.16%,  7.13%,  5.17%, 184162.64, 20088.82, 12957.19, 190965.74 , 16, 235, 97.78, 59, 148, 121.12, 78, 178, 135.03, 0.00%, 13.21%,0.00%, 43.40%, 0.00%, 2.83%, 23.58%, 1.89%, 15.09%, 0.00%, 27.53%,0.00%, 40.77%, 3.14%, 2.44%, 8.71%, 2.09%, 15.33%, 0.00%, 42.22%,0.00%, 15.56%, 2.22%, 5.56%, 12.22%, 4.81%, 17.41%, 0.00%, 39.66%,0.00%, 14.66%, 8.62%, 4.31%, 8.62%, 6.47%, 17.67%,0.00%, 1.5, 47.9, 35.7, 15.6, 97.1, 0.0, 445.9, 3.615, 23
7, b-SLICE,    5, 39.00,       3952, 0,4.85,31.348, 37.131, 39.075, 33.037,57, 4 2 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.54%,  8.01%, 14.10%, 15.38%,  4.81%,  4.49%,  1.92%,  1.60%,  0.00%,  6.09%,  1.60%,  1.28%,  7.69%, 14.10%,  7.05%,  0.32%, 183113.81, 19809.81, 12676.45, 184466.02 , 16, 235, 97.58, 62, 147, 121.19, 70, 181, 135.07, 0.00%, 28.24%,0.00%, 41.18%, 1.18%, 4.71%, 7.06%, 4.12%, 13.53%, 0.00%, 34.05%,0.00%, 39.46%, 0.54%, 4.32%, 5.95%, 4.05%, 11.62%, 0.00%, 48.21%,0.00%, 25.00%, 1.79%, 3.57%, 7.14%, 0.89%, 13.39%, 0.00%, 31.25%,0.00%, 37.50%, 0.00%, 0.00%, 6.25%, 6.25%, 18.75%,0.00%, 1.7, 53.1, 31.9, 12.0, 92.4, 0.0, 467.4, 3.548, 53
8, b-SLICE,    7, 39.00,       3776, 0,5.05,31.135, 37.084, 39.083, 32.872,56, 6 4 2 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.71%,  8.50%, 11.44%, 13.07%,  4.25%,  4.25%,  1.63%,  2.61%,  0.00%,  7.19%,  4.90%,  1.63%,  6.21%, 12.42%,  3.92%,  3.27%, 192447.37, 19926.31, 12998.93, 193825.73 , 16, 235, 97.99, 61, 148, 121.18, 88, 178, 135.09, 0.00%, 21.11%,0.00%, 48.89%, 1.11%, 6.11%, 7.22%, 7.78%, 7.78%, 0.00%, 36.36%,0.00%, 38.79%, 0.61%, 4.24%, 7.88%, 4.24%, 7.88%, 0.00%, 50.94%,0.00%, 20.75%, 3.77%, 4.72%, 6.60%, 2.83%, 10.38%, 0.00%, 53.57%,0.00%, 14.29%, 3.57%, 1.79%, 1.79%, 1.79%, 23.21%,0.00%, 1.7, 36.4, 31.9, 12.0, 79.5, 0.0, 465.1, 3.437, 38
9, P-SLICE,   13, 37.00,      37320, 0,4.70,30.914, 37.048, 39.021, 32.694,51, 8 6 4 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%, 0.15%,  0.00%,  0.92%, 0.00%,  0.05%,  0.24%,  3.77%,  6.29%, 13.55%, 11.56%, 19.88%, 13.93%,  0.00%,  0.19%,  3.10%,  7.98%,  0.00%,  1.31%,  6.00%, 10.93%, 208238.99, 20264.93, 10997.24, 267998.81 , 16, 235, 99.08, 60, 146, 121.15, 85, 180, 135.23, 0.00%, 0.00%,0.00%, 16.67%, 0.00%, 33.33%, 0.00%, 33.33%, 16.67%, 0.00%, 11.52%,0.00%, 30.48%, 9.67%, 15.80%, 9.85%, 11.90%, 10.78%, 0.42%, 26.48%,0.00%, 27.18%, 12.25%, 7.04%, 12.54%, 4.65%, 9.44%, 1.98%, 35.16%,0.00%, 25.09%, 11.87%, 3.46%, 9.67%, 2.52%, 10.25%,0.00%, 0.0, 34.6, 70.9, 12.2, 218.8, 0.0, 490.3, 3.933, 40
