Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     188312, 0,0.00,33.792, 36.809, 38.603, 34.771,55,  -, -, 0.00%,  0.00%,  0.00%, 0.63%,  0.19%,  1.61%, 2.36%,  0.56%,  8.36%, 7.30%,  2.50%, 33.15%,43.36%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 110262.54, 23139.58, 8676.61, 717411.75 , 16, 235, 94.05, 59, 141, 111.56, 103, 195, 140.11, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 79.45%, 0.00%,0.00%, 20.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 304.3, 0.1, 132.5, 0.0, 454.9, 0.0, 340.9, 3.867, 68
1, P-SLICE,    6, 37.00,      29584, 0,5.07,32.380, 36.799, 38.551, 33.704,50, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.11%,  0.06%,  0.51%, 0.34%,  0.28%,  2.30%, 0.00%,  0.22%,  0.34%,  4.04%,  3.82%,  8.08%,  8.36%, 16.22%, 18.86%,  0.00%,  1.12%,  2.30%,  4.77%,  0.17%,  5.61%, 11.62%, 10.89%, 149533.39, 21836.91, 9263.33, 220797.47 , 16, 235, 94.11, 55, 136, 111.52, 110, 196, 140.06, 0.00%, 23.08%,0.00%, 30.77%, 0.00%, 11.54%, 26.92%, 0.00%, 7.69%, 0.00%, 41.38%,0.00%, 24.83%, 10.34%, 6.21%, 6.21%, 5.86%, 5.17%, 2.17%, 44.85%,0.00%, 17.18%, 8.86%, 5.97%, 9.58%, 4.52%, 6.87%, 5.44%, 29.18%,0.00%, 16.53%, 13.70%, 5.96%, 13.81%, 4.13%, 11.24%,0.00%, 331.2, 77.4, 47.7, 24.7, 84.2, 5.9, 343.3, 2.222, 28
2, B-SLICE,    3, 38.00,       8320, 0,4.50,32.771, 36.914, 38.646, 34.023,54, 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.85%,  0.71%, 12.29%,  9.46%,  7.06%,  8.05%,  6.21%,  5.93%,  0.00%,  6.92%,  5.08%,  5.37%,  1.98%, 21.47%,  5.79%,  2.82%, 133379.17, 21231.53, 10087.21, 140384.02 , 16, 235, 94.05, 57, 137, 111.53, 107, 196, 140.06, 0.00%, 56.00%,0.00%, 24.00%, 0.00%, 4.00%, 8.00%, 4.00%, 4.00%, 0.00%, 52.48%,0.00%, 30.03%, 0.52%, 2.22%, 9.27%, 1.57%, 4.44%, 0.00%, 41.85%,0.00%, 22.83%, 4.35%, 6.52%, 15.76%, 3.26%, 5.43%, 0.00%, 40.28%,0.00%, 20.83%, 9.72%, 9.03%, 11.81%, 2.43%, 5.90%,0.00%, 335.6, 110.5, 28.9, 9.6, 76.3, 0.0, 368.1, 2.985, 22
3, b-SLICE,    1, 39.00,       4112, 0,4.20,32.958, 36.951, 38.695, 34.174,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.98%,  0.99%, 12.30%, 13.29%,  2.98%,  2.38%,  3.17%,  2.18%,  0.00%,  5.56%,  1.98%,  0.79%,  3.37%, 41.07%,  4.56%,  3.37%, 126783.01, 21027.12, 10090.77, 128818.22 , 16, 235, 94.19, 59, 139, 111.54, 105, 195, 140.10, 0.00%, 53.12%,0.00%, 28.12%, 3.12%, 1.56%, 4.69%, 3.12%, 6.25%, 0.00%, 59.64%,0.00%, 23.35%, 0.00%, 2.03%, 7.87%, 1.78%, 5.33%, 0.00%, 55.00%,0.00%, 16.67%, 8.33%, 4.17%, 9.17%, 0.83%, 5.83%, 0.00%, 43.75%,0.00%, 16.67%, 16.67%, 5.21%, 7.29%, 4.17%, 6.25%,0.00%, 339.8, 128.9, 20.8, 5.7, 68.9, 0.0, 389.0, 3.748, 50
4, b-SLICE,    2, 39.00,       3968, 0,4.65,32.782, 36.957, 38.697, 34.044,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.99%,  0.99%, 10.32%, 13.49%,  2.98%,  2.78%,  1.39%,  2.58%,  0.00%,  6.35%,  1.98%,  2.38%,  4.37%, 41.87%,  5.16%,  2.38%, 131761.56, 21003.50, 10146.21, 133311.31 , 16, 235, 94.17, 59, 136, 111.54, 106, 195, 140.09, 0.00%, 68.75%,0.00%, 15.62%, 0.00%, 3.12%, 3.12%, 3.12%, 6.25%, 0.00%, 61.83%,0.00%, 20.61%, 0.25%, 2.29%, 9.67%, 0.89%, 4.45%, 0.00%, 55.38%,0.00%, 20.00%, 3.08%, 4.62%, 12.31%, 0.77%, 3.85%, 0.00%, 54.55%,0.00%, 15.91%, 0.00%, 9.09%, 18.18%, 1.14%, 1.14%,0.00%, 343.3, 125.4, 22.1, 5.7, 72.1, 0.0, 387.7, 3.696, 35
5, b-SLICE,    4, 39.00,       3040, 0,4.21,32.519, 36.944, 38.667, 33.841,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.38%,  7.29%, 13.54%, 13.89%,  1.74%,  2.78%,  1.39%,  3.82%,  0.00%,  6.60%,  1.04%,  1.74%, 13.54%, 19.79%,  2.08%,  1.39%, 140259.18, 21100.93, 10538.01, 140639.67 , 16, 235, 94.19, 59, 137, 111.55, 108, 194, 140.10, 0.00%, 44.83%,0.00%, 31.03%, 0.00%, 5.17%, 8.62%, 2.30%, 8.05%, 0.00%, 41.08%,0.00%, 37.30%, 0.00%, 2.43%, 12.70%, 1.62%, 4.86%, 0.00%, 40.91%,0.00%, 22.73%, 0.00%, 0.00%, 4.55%, 2.27%, 29.55%, 0.00%, 37.50%,0.00%, 12.50%, 4.17%, 6.25%, 18.75%, 0.00%, 20.83%,0.00%, 1.0, 31.0, 23.6, 5.7, 62.9, 0.0, 384.7, 3.652, 30
6, b-SLICE,    5, 39.00,       3304, 0,4.25,32.355, 36.877, 38.632, 33.705,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.46%,  4.90%, 12.09%, 16.34%,  1.96%,  2.61%,  2.29%,  2.94%,  0.00%,  4.58%,  1.96%,  3.59%, 13.40%, 15.03%,  4.90%,  2.94%, 145534.64, 21367.11, 10272.11, 146885.33 , 16, 235, 94.20, 58, 135, 111.55, 109, 194, 140.09, 0.00%, 46.59%,0.00%, 36.36%, 0.00%, 2.27%, 10.23%, 1.14%, 3.41%, 0.00%, 33.90%,0.00%, 36.72%, 1.13%, 5.08%, 12.99%, 2.26%, 7.91%, 0.00%, 60.00%,0.00%, 14.29%, 2.86%, 1.43%, 7.14%, 2.86%, 11.43%, 0.00%, 55.56%,0.00%, 13.89%, 5.56%, 5.56%, 13.89%, 0.00%, 5.56%,0.00%, 0.9, 11.6, 25.0, 5.8, 72.5, 0.0, 384.5, 3.267, 25
7, P-SLICE,   12, 37.00,      31784, 0,4.60,32.027, 36.978, 38.192, 33.416,50, 6 3 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.07%, 0.00%,  0.00%,  0.85%, 0.46%,  0.26%,  3.54%, 0.00%,  1.18%,  0.46%,  7.48%,  5.51%,  8.60%,  6.50%, 21.13%, 16.14%,  0.00%,  0.79%,  2.62%,  3.67%,  0.33%,  1.90%,  6.50%, 12.01%, 162044.63, 22389.68, 9749.76, 232221.07 , 16, 235, 94.35, 57, 138, 112.10, 110, 196, 140.79, 0.00%, 16.67%,0.00%, 23.33%, 36.67%, 8.33%, 8.33%, 0.00%, 6.67%, 0.37%, 15.19%,0.00%, 32.96%, 20.37%, 7.22%, 7.59%, 7.41%, 8.89%, 3.40%, 36.39%,0.00%, 20.42%, 13.87%, 5.10%, 9.03%, 4.58%, 7.20%, 7.45%, 27.41%,0.00%, 20.41%, 16.51%, 4.07%, 12.56%, 2.64%, 8.94%,0.00%, 1.8, 0.1, 62.8, 0.0, 168.2, 0.0, 414.6, 2.963, 43
8, B-SLICE,    9, 38.00,       7080, 0,5.23,32.249, 36.955, 38.556, 33.625,54, 6 3 0 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.51%,  2.37%, 10.45%,  7.89%,  5.92%,  9.07%,  5.92%,  6.31%,  0.00%,  1.97%,  1.78%,  2.17%,  5.72%, 13.61%, 10.26%, 10.06%, 150035.25, 21287.45, 10960.07, 158150.33 , 16, 235, 94.15, 57, 137, 111.72, 111, 196, 140.37, 0.00%, 39.19%,0.00%, 44.59%, 0.00%, 0.00%, 2.70%, 1.35%, 12.16%, 0.00%, 39.11%,0.00%, 39.11%, 1.98%, 2.48%, 10.40%, 1.49%, 5.45%, 0.00%, 44.53%,0.00%, 16.79%, 5.11%, 4.74%, 14.23%, 1.82%, 12.77%, 0.00%, 50.00%,0.00%, 12.10%, 12.10%, 4.84%, 7.26%, 3.63%, 10.08%,0.00%, 1.3, 30.3, 41.5, 17.4, 94.9, 0.6, 443.7, 2.637, 30
9, b-SLICE,    7, 39.00,       2848, 0,4.60,32.347, 36.996, 38.600, 33.710,57, 6 3 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.06%,  6.74%, 10.99%, 11.70%,  1.42%,  2.13%,  2.13%,  1.42%,  0.00%,  2.13%,  0.71%,  0.00%, 13.48%, 23.76%,  6.38%,  4.96%, 145763.74, 21083.64, 10909.50, 146665.20 , 16, 235, 94.26, 59, 137, 111.71, 111, 196, 140.32, 0.00%, 41.76%,0.00%, 37.36%, 0.00%, 2.20%, 7.69%, 1.65%, 9.34%, 0.00%, 43.71%,0.00%, 36.53%, 0.00%, 1.50%, 11.08%, 0.90%, 6.29%, 0.00%, 66.67%,0.00%, 6.67%, 6.67%, 1.67%, 11.67%, 1.67%, 5.00%, 0.00%, 58.33%,0.00%, 12.50%, 12.50%, 0.00%, 12.50%, 0.00%, 4.17%,0.00%, 0.0, 58.1, 27.2, 12.0, 71.0, 0.0, 462.6, 3.215, 37
