Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     151656, 0,0.00,33.577, 38.717, 39.073, 34.906,55,  -, -, 0.00%,  0.00%,  0.00%, 1.20%,  0.60%,  1.95%, 2.98%,  1.23%,  9.11%, 7.96%,  2.62%, 36.92%,35.43%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 114086.99, 17137.73, 10241.64, 574908.21 , 17, 235, 148.65, 59, 167, 128.82, 88, 174, 126.70, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.87%, 0.00%,0.00%, 16.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 286.4, 0.1, 124.7, 0.0, 381.9, 0.0, 319.0, 3.630, 37
1, P-SLICE,    6, 37.00,      19192, 0,4.41,32.630, 38.759, 39.118, 34.207,50, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.08%,  0.08%,  0.55%, 0.16%,  0.23%,  1.25%, 0.00%,  0.08%,  0.08%,  9.11%,  8.33%, 19.00%, 12.23%,  9.74%,  8.18%,  0.00%,  0.86%,  4.75%,  5.30%,  0.55%,  5.76%,  6.78%,  6.93%, 139423.96, 15969.93, 10802.93, 185295.53 , 16, 235, 148.96, 63, 168, 128.80, 87, 171, 126.73, 0.00%, 77.78%,0.00%, 11.11%, 0.00%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 25.07%,0.00%, 27.73%, 15.63%, 9.44%, 8.26%, 7.82%, 6.05%, 1.61%, 26.52%,0.00%, 29.93%, 13.80%, 3.49%, 6.00%, 6.63%, 12.01%, 5.15%, 38.48%,0.00%, 15.93%, 14.71%, 3.31%, 6.50%, 3.06%, 12.87%,0.00%, 320.6, 63.4, 44.2, 24.5, 110.4, 0.0, 317.1, 2.970, 21
2, B-SLICE,    3, 38.00,       7024, 0,4.67,32.936, 38.798, 39.136, 34.444,54, 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.76%,  1.41%, 21.87%, 10.58%,  6.17%,  3.17%,  4.23%,  4.41%,  0.00%,  8.82%,  5.11%,  5.11%,  3.00%, 18.17%,  5.11%,  1.06%, 127491.78, 15849.33, 11465.00, 134400.01 , 18, 235, 148.86, 61, 168, 128.81, 90, 174, 126.70, 0.00%, 48.57%,0.00%, 28.57%, 0.00%, 8.57%, 11.43%, 1.43%, 1.43%, 0.00%, 41.69%,0.00%, 39.78%, 2.18%, 2.86%, 4.77%, 4.22%, 4.50%, 0.00%, 52.25%,0.00%, 25.23%, 6.31%, 3.15%, 3.15%, 4.95%, 4.95%, 0.00%, 41.67%,0.00%, 15.48%, 13.10%, 4.17%, 4.17%, 5.95%, 15.48%,0.00%, 326.1, 96.1, 27.1, 5.3, 84.9, 0.0, 344.4, 3.956, 59
3, b-SLICE,    1, 39.00,       3176, 0,4.65,33.218, 38.870, 39.184, 34.670,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.84%,  1.42%, 10.87%, 13.95%,  0.47%,  2.36%,  0.00%,  1.65%,  0.00%,  8.27%,  1.18%,  0.00%,  6.15%, 43.50%,  4.26%,  3.07%, 119148.39, 15631.36, 11400.39, 119601.21 , 16, 235, 148.85, 61, 168, 128.84, 88, 170, 126.73, 0.00%, 59.09%,0.00%, 27.27%, 0.00%, 0.00%, 6.82%, 3.41%, 3.41%, 0.00%, 61.86%,0.00%, 21.47%, 0.00%, 1.55%, 4.94%, 3.11%, 7.06%, 0.00%, 65.71%,0.00%, 5.71%, 0.00%, 4.29%, 4.29%, 11.43%, 8.57%, 0.00%, 65.00%,0.00%, 0.00%, 0.00%, 5.00%, 15.00%, 5.00%, 10.00%,0.00%, 331.6, 114.2, 20.5, 3.2, 69.4, 0.0, 369.0, 3.985, 60
4, b-SLICE,    2, 39.00,       3976, 0,4.40,33.077, 38.849, 39.184, 34.562,57, 0 ,3 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.87%,  0.66%, 19.65%, 10.82%,  1.55%,  2.43%,  2.43%,  1.77%,  0.00%,  7.51%,  2.87%,  4.64%,  5.96%, 33.77%,  2.21%,  0.88%, 122989.79, 15670.01, 11554.22, 124868.06 , 17, 235, 148.95, 63, 168, 128.84, 88, 171, 126.72, 0.00%, 62.79%,0.00%, 30.23%, 0.00%, 0.00%, 2.33%, 1.16%, 3.49%, 0.00%, 52.68%,0.00%, 33.52%, 0.00%, 2.39%, 4.93%, 0.85%, 5.63%, 0.00%, 56.10%,0.00%, 17.07%, 0.00%, 3.66%, 6.10%, 3.66%, 13.41%, 0.00%, 56.82%,0.00%, 15.91%, 9.09%, 1.14%, 3.41%, 2.27%, 11.36%,0.00%, 334.6, 111.2, 21.9, 3.2, 70.7, 0.0, 367.9, 3.904, 60
5, b-SLICE,    4, 39.00,       3168, 0,4.53,32.781, 38.883, 39.192, 34.345,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.07%, 11.11%, 13.70%,  8.52%,  0.74%,  2.59%,  0.74%,  4.81%,  0.00%,  3.70%,  1.11%,  2.96%, 10.00%, 19.26%,  4.81%,  1.85%, 131718.36, 15593.30, 11961.32, 132551.21 , 17, 235, 149.00, 64, 165, 128.84, 89, 177, 126.74, 0.00%, 28.42%,0.00%, 40.00%, 0.00%, 6.84%, 8.95%, 5.26%, 10.53%, 0.00%, 40.79%,0.00%, 43.42%, 0.66%, 1.97%, 3.29%, 1.64%, 8.22%, 0.00%, 64.00%,0.00%, 8.00%, 0.00%, 2.00%, 6.00%, 6.00%, 14.00%, 0.00%, 46.43%,0.00%, 7.14%, 0.00%, 1.79%, 5.36%, 10.71%, 28.57%,0.00%, 1.0, 33.6, 23.6, 3.2, 62.8, 0.0, 364.2, 3.704, 61
6, b-SLICE,    5, 39.00,       3000, 0,4.53,32.602, 38.872, 39.192, 34.210,56, 3 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.35%, 10.64%,  9.93%,  8.51%,  3.90%,  2.84%,  1.42%,  4.96%,  0.00%,  4.61%,  2.84%,  2.48%, 12.06%, 17.38%,  4.61%,  2.48%, 137218.81, 15613.74, 11845.81, 138228.97 , 16, 235, 149.04, 62, 168, 128.83, 89, 171, 126.75, 0.00%, 35.42%,0.00%, 33.33%, 0.00%, 6.77%, 9.90%, 4.69%, 9.90%, 0.00%, 43.06%,0.00%, 39.58%, 0.69%, 2.78%, 4.86%, 2.78%, 6.25%, 0.00%, 52.50%,0.00%, 27.50%, 0.00%, 0.00%, 2.50%, 5.00%, 12.50%, 0.00%, 43.75%,0.00%, 12.50%, 0.00%, 4.69%, 4.69%, 7.81%, 26.56%,0.00%, 1.0, 16.7, 25.4, 3.2, 75.9, 0.0, 363.7, 3.622, 42
7, P-SLICE,   12, 37.00,      24880, 0,4.20,32.234, 38.682, 39.129, 33.902,50, 6 3 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.22%, 0.15%,  0.00%,  0.59%, 0.30%,  0.52%,  2.38%, 0.00%,  0.37%,  0.89%,  8.91%,  6.76%, 17.67%,  7.80%, 19.30%,  8.46%,  0.00%,  0.37%,  4.08%,  7.13%,  0.59%,  2.67%,  4.68%,  6.16%, 153349.13, 16095.38, 11434.08, 217909.49 , 16, 235, 149.19, 60, 167, 128.80, 85, 176, 126.80, 0.00%, 32.00%,0.00%, 12.00%, 8.00%, 28.00%, 8.00%, 10.00%, 2.00%, 1.05%, 14.39%,0.00%, 31.93%, 20.70%, 8.25%, 6.14%, 11.75%, 5.79%, 2.12%, 25.05%,0.00%, 28.66%, 21.87%, 2.76%, 5.31%, 6.05%, 8.17%, 7.21%, 30.03%,0.00%, 23.15%, 20.47%, 1.85%, 5.54%, 2.18%, 9.56%,0.00%, 1.7, 0.1, 56.8, 0.0, 164.6, 0.0, 383.9, 3.341, 35
8, B-SLICE,    9, 38.00,       6840, 0,4.53,32.498, 38.806, 39.186, 34.122,54, 6 3 0 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.95%,  3.24%, 16.00%, 13.33%,  4.38%,  5.33%,  5.33%,  7.62%,  0.00%,  4.00%,  4.57%,  5.52%,  3.62%,  9.90%,  6.29%,  5.90%, 140832.99, 15748.54, 12399.61, 147979.69 , 17, 235, 149.10, 63, 165, 128.81, 88, 174, 126.75, 0.00%, 30.65%,0.00%, 41.94%, 0.00%, 7.26%, 13.71%, 2.42%, 4.03%, 0.00%, 28.40%,0.00%, 42.80%, 1.56%, 2.72%, 6.61%, 5.64%, 12.26%, 0.00%, 52.78%,0.00%, 19.44%, 1.85%, 4.63%, 9.26%, 3.70%, 8.33%, 0.00%, 46.88%,0.00%, 14.06%, 7.81%, 2.34%, 5.47%, 4.30%, 19.14%,0.00%, 1.3, 31.0, 26.3, 8.3, 81.6, 0.0, 407.6, 3.770, 54
9, b-SLICE,    7, 39.00,       3544, 0,4.50,32.569, 38.917, 39.227, 34.195,57, 6 3 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.93%,  7.99%, 17.01%, 10.42%,  3.47%,  3.12%,  1.39%,  3.47%,  0.00%,  7.29%,  2.43%,  2.43%,  8.68%, 12.50%,  2.43%,  2.43%, 138266.07, 15468.95, 12538.04, 138977.25 , 18, 235, 149.10, 65, 166, 128.85, 88, 175, 126.77, 0.00%, 27.47%,0.00%, 47.25%, 0.00%, 3.85%, 12.64%, 4.40%, 4.40%, 0.00%, 34.34%,0.00%, 46.99%, 0.60%, 1.81%, 4.22%, 3.31%, 8.73%, 0.00%, 42.42%,0.00%, 30.30%, 0.00%, 0.00%, 0.00%, 4.55%, 22.73%, 0.00%, 50.00%,0.00%, 7.14%, 7.14%, 1.79%, 8.93%, 5.36%, 19.64%,0.00%, 0.0, 50.6, 22.8, 4.5, 77.5, 0.0, 429.8, 3.948, 50
