Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     171408, 0,0.00,33.333, 37.279, 38.876, 34.519,55,  -, -, 0.00%,  0.00%,  0.00%, 0.34%,  0.10%,  1.42%, 1.86%,  0.71%,  8.61%, 6.17%,  2.59%, 41.58%,36.62%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 121249.63, 21239.52, 9376.70, 556488.64 , 16, 235, 100.26, 83, 201, 116.44, 78, 167, 137.48, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.81%, 0.00%,0.00%, 24.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 283.7, 0.1, 137.4, 0.0, 396.9, 0.0, 332.4, 3.519, 24
1, P-SLICE,    5, 37.00,      31112, 0,3.60,31.911, 36.979, 38.827, 33.409,51, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.55%, 0.00%,  0.00%,  1.05%, 0.33%,  0.11%,  1.22%, 0.00%,  0.11%,  0.06%,  6.05%,  5.88%, 21.19%, 11.20%, 17.64%,  9.82%,  0.00%,  0.22%,  4.22%,  6.21%,  0.06%,  1.05%,  6.43%,  6.60%, 167246.76, 20843.59, 9767.17, 228058.52 , 16, 235, 99.74, 84, 202, 116.43, 79, 167, 137.47, 0.00%, 25.00%,0.00%, 50.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 3.60%, 8.27%,0.00%, 33.09%, 16.91%, 9.53%, 5.22%, 13.85%, 9.53%, 2.39%, 24.15%,0.00%, 34.34%, 13.71%, 5.53%, 5.66%, 6.54%, 7.67%, 3.97%, 30.56%,0.00%, 19.84%, 22.22%, 2.71%, 8.13%, 2.84%, 9.72%,0.00%, 318.9, 50.9, 80.1, 48.0, 132.4, 7.5, 344.7, 2.400, 25
2, B-SLICE,    3, 38.00,      11624, 0,3.56,32.210, 37.218, 38.980, 33.682,54, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.38%,  0.50%, 22.81%, 14.04%, 12.16%,  8.52%,  5.89%,  5.01%,  0.00%,  3.88%,  4.26%,  5.76%,  0.63%,  8.52%,  4.76%,  2.88%, 151768.99, 19740.73, 10617.62, 160851.52 , 16, 235, 99.88, 82, 203, 116.41, 76, 166, 137.48, 0.00%, 41.67%,0.00%, 25.00%, 0.00%, 4.17%, 12.50%, 8.33%, 8.33%, 0.00%, 23.40%,0.00%, 48.70%, 1.42%, 4.73%, 8.51%, 4.26%, 8.98%, 0.00%, 30.38%,0.00%, 31.65%, 9.28%, 6.54%, 9.07%, 4.43%, 8.65%, 0.00%, 44.23%,0.00%, 12.18%, 17.95%, 2.56%, 8.33%, 3.21%, 11.54%,0.00%, 323.5, 111.4, 39.3, 13.7, 97.6, 0.0, 374.4, 2.881, 34
3, b-SLICE,    1, 39.00,       4656, 0,3.65,32.564, 37.298, 38.976, 33.958,57, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.18%,  0.79%, 16.96%, 22.29%,  1.78%,  2.96%,  0.00%,  0.79%,  0.00%,  9.07%,  1.58%,  0.59%,  1.97%, 33.53%,  4.73%,  1.78%, 138995.98, 19579.46, 10277.28, 139806.90 , 16, 235, 100.19, 84, 205, 116.42, 77, 167, 137.50, 0.00%, 50.00%,0.00%, 30.00%, 0.00%, 2.50%, 7.50%, 2.50%, 7.50%, 0.00%, 48.54%,0.00%, 25.62%, 0.45%, 4.94%, 5.62%, 6.18%, 8.65%, 0.00%, 57.14%,0.00%, 14.29%, 1.79%, 3.57%, 8.93%, 3.57%, 10.71%, 0.00%, 75.00%,0.00%, 0.00%, 0.00%, 0.00%, 6.25%, 0.00%, 18.75%,0.00%, 327.8, 131.1, 36.9, 14.7, 91.9, 0.0, 402.5, 3.044, 27
4, b-SLICE,    2, 39.00,       6096, 0,3.55,32.380, 37.280, 39.040, 33.825,57, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.63%,  0.72%, 24.46%, 14.67%,  4.89%,  4.35%,  1.45%,  1.81%,  0.00%,  9.78%,  5.25%,  3.44%,  1.63%, 22.83%,  2.54%,  0.54%, 144775.14, 19522.04, 10979.55, 146035.79 , 16, 235, 100.05, 84, 202, 116.44, 77, 167, 137.53, 0.00%, 40.91%,0.00%, 40.91%, 0.00%, 6.82%, 6.82%, 2.27%, 2.27%, 0.00%, 42.25%,0.00%, 38.50%, 0.23%, 3.76%, 5.40%, 3.52%, 6.34%, 0.00%, 45.16%,0.00%, 23.66%, 5.38%, 3.23%, 9.68%, 3.23%, 9.68%, 0.00%, 55.00%,0.00%, 17.50%, 2.50%, 0.00%, 2.50%, 6.25%, 16.25%,0.00%, 331.0, 127.9, 38.2, 14.8, 75.2, 1.1, 401.2, 3.104, 41
5, b-SLICE,    4, 39.00,       3616, 0,3.62,32.038, 37.164, 38.996, 33.549,56, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.46%,  8.33%, 21.53%, 15.97%,  1.39%,  1.04%,  0.00%,  0.00%,  0.00%,  8.68%,  0.00%,  0.00%,  7.29%, 21.18%,  3.12%,  0.00%, 156525.01, 19861.30, 11861.22, 157273.08 , 16, 235, 99.72, 86, 206, 116.43, 78, 166, 137.47, 0.00%, 26.92%,0.00%, 42.31%, 0.00%, 1.28%, 11.54%, 5.13%, 12.82%, 0.00%, 38.39%,0.00%, 40.18%, 0.89%, 2.46%, 7.37%, 2.90%, 7.81%, 0.00%, 56.25%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 6.25%, 12.50%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 36.8, 42.1, 14.7, 76.0, 1.1, 398.4, 2.711, 31
6, P-SLICE,    8, 37.00,      29216, 0,3.58,31.632, 37.081, 38.915, 33.223,53, 5 3 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.07%,  0.14%, 0.07%,  0.00%,  0.43%, 0.29%,  0.36%,  2.44%, 0.00%,  0.43%,  0.36%,  9.99%,  9.27%, 18.32%,  9.20%, 16.31%,  8.12%,  0.00%,  0.29%,  3.38%,  6.47%,  0.07%,  1.94%,  4.09%,  7.97%, 177302.16, 20475.05, 10603.80, 233018.82 , 16, 235, 100.04, 86, 197, 116.81, 77, 167, 137.42, 0.00%, 8.33%,0.00%, 25.00%, 25.00%, 16.67%, 0.00%, 25.00%, 0.00%, 0.90%, 9.34%,0.00%, 33.43%, 17.47%, 8.89%, 7.38%, 13.55%, 9.04%, 1.42%, 21.05%,0.00%, 29.55%, 22.06%, 5.77%, 7.79%, 4.05%, 8.30%, 7.36%, 34.42%,0.00%, 19.01%, 19.86%, 1.11%, 6.93%, 2.23%, 9.08%,0.00%, 1.2, 7.7, 60.7, 14.7, 172.3, 0.0, 407.3, 3.430, 34
7, B-SLICE,    7, 38.00,       7864, 0,3.39,31.700, 37.031, 38.928, 33.270,55, 5 3 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.76%,  2.33%, 24.55%, 13.08%,  9.14%,  6.45%,  2.51%,  3.94%,  0.00%,  5.38%,  2.15%,  1.97%,  1.61%, 10.22%,  8.42%,  4.48%, 170311.07, 20356.81, 11781.23, 174795.18 , 16, 235, 99.89, 84, 199, 116.59, 81, 167, 137.41, 0.00%, 20.93%,0.00%, 48.84%, 0.00%, 9.30%, 6.98%, 6.98%, 6.98%, 0.00%, 26.61%,0.00%, 47.40%, 3.67%, 4.28%, 5.20%, 5.05%, 7.80%, 0.00%, 40.41%,0.00%, 27.40%, 7.53%, 2.05%, 8.22%, 2.74%, 11.64%, 0.00%, 50.00%,0.00%, 5.56%, 13.89%, 2.78%, 8.33%, 4.17%, 15.28%,0.00%, 1.4, 27.4, 43.2, 15.4, 127.1, 0.0, 436.0, 3.422, 27
8, b-SLICE,    6, 39.00,       4552, 0,3.66,31.798, 37.099, 38.956, 33.356,57, 5 3 ,7 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 16.50%,  6.40%, 27.61%, 12.12%,  2.02%,  1.68%,  0.67%,  0.34%,  0.00%,  4.38%,  3.70%,  0.67%,  4.71%, 14.14%,  4.04%,  1.01%, 165278.01, 20113.56, 12456.86, 167333.73 , 16, 235, 99.72, 85, 197, 116.46, 80, 167, 137.46, 0.00%, 17.07%,0.00%, 58.54%, 1.22%, 4.88%, 8.54%, 3.05%, 6.71%, 0.00%, 27.09%,0.00%, 51.72%, 3.45%, 3.20%, 5.17%, 2.22%, 7.14%, 0.00%, 67.65%,0.00%, 17.65%, 0.00%, 1.47%, 1.47%, 1.47%, 10.29%, 0.00%, 62.50%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 12.50%,0.00%, 1.2, 36.5, 34.8, 12.2, 94.7, 0.0, 460.1, 3.207, 22
9, P-SLICE,   12, 37.00,      37736, 0,3.68,31.569, 37.078, 38.845, 33.167,52, 8 7 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.41%, 0.12%,  0.06%,  1.30%, 0.41%,  0.30%,  2.84%, 0.00%,  0.18%,  0.24%,  8.35%,  5.62%, 24.81%,  7.93%, 22.79%,  7.10%,  0.00%,  0.12%,  1.66%,  4.62%,  0.00%,  1.30%,  4.09%,  5.74%, 180324.83, 20701.41, 10731.27, 297689.86 , 16, 235, 100.76, 80, 197, 116.61, 78, 168, 137.58, 0.00%, 0.00%,0.00%, 14.29%, 28.57%, 14.29%, 14.29%, 21.43%, 7.14%, 2.36%, 8.08%,0.00%, 32.32%, 25.25%, 7.24%, 4.55%, 12.46%, 7.74%, 3.70%, 14.37%,0.00%, 38.37%, 23.70%, 3.78%, 4.22%, 5.04%, 6.81%, 8.11%, 23.65%,0.00%, 22.16%, 29.86%, 1.35%, 6.35%, 1.55%, 6.96%,0.00%, 0.0, 35.1, 87.1, 12.2, 241.7, 0.0, 500.1, 3.333, 30
